variant_id,product_id,color,storage,size,cost_price,selling_price
87,22,White,256GB,,43735.12,49699.00
88,22,Silver,256GB,,43735.12,49699.00
89,23,Blue,128GB,,35815.12,40699.00
90,23,Green,128GB,,35815.12,40699.00
91,23,Blue,256GB,,40479.12,45999.00
92,23,Green,256GB,,40479.12,45999.00
93,24,Green,128GB,,17071.12,19399.00
94,24,Red,128GB,,17071.12,19399.00
95,24,Green,256GB,,19271.12,21899.00
96,24,Red,256GB,,19271.12,21899.00
97,25,Gray,128GB,,44879.12,50999.00
98,25,Blue,128GB,,44879.12,50999.00
99,25,Gray,256GB,,51039.12,57999.00
100,25,Blue,256GB,,51039.12,57999.00
101,26,Black,128GB,,36607.12,41599.00
102,26,White,128GB,,36607.12,41599.00
103,26,Black,256GB,,41359.12,46999.00
104,26,White,256GB,,41359.12,46999.00
105,27,Gray,128GB,,37663.12,42799.00
106,27,Blue,128GB,,37663.12,42799.00
107,27,Gray,256GB,,42591.12,48399.00
108,27,Blue,256GB,,42591.12,48399.00
109,28,Purple,128GB,,40303.12,45799.00
110,28,Gold,128GB,,40303.12,45799.00
111,28,Purple,256GB,,45759.12,51999.00
112,28,Gold,256GB,,45759.12,51999.00
113,29,Purple,128GB,,22615.12,25699.00
114,29,Gold,128GB,,22615.12,25699.00
115,29,Purple,256GB,,25519.12,28999.00
116,29,Gold,256GB,,25519.12,28999.00
117,30,White,256GB,,51039.12,57999.00
118,30,Silver,256GB,,51039.12,57999.00
119,30,White,512GB,,57199.12,64999.00
120,30,Silver,512GB,,57199.12,64999.00
121,31,Silver,128GB,,41887.12,47599.00
122,31,Gray,128GB,,41887.12,47599.00
123,31,Silver,256GB,,47519.12,53999.00
124,31,Gray,256GB,,47519.12,53999.00
125,32,Pink,128GB,,33967.12,38599.00
126,32,Purple,128GB,,33967.12,38599.00
127,32,Pink,256GB,,38367.12,43599.00
128,32,Purple,256GB,,38367.12,43599.00
129,33,Purple,128GB,,43647.12,49599.00
130,33,Gold,128GB,,43647.12,49599.00
131,33,Purple,256GB,,49279.12,55999.00
132,33,Gold,256GB,,49279.12,55999.00
133,34,Black,128GB,,40655.12,46199.00
134,34,White,128GB,,40655.12,46199.00
135,34,Black,256GB,,45759.12,51999.00
136,34,White,256GB,,45759.12,51999.00
137,35,Red,256GB,,51919.12,58999.00
138,35,Pink,256GB,,51919.12,58999.00
139,35,Red,512GB,,58959.12,66999.00
140,35,Pink,512GB,,58959.12,66999.00
141,36,Black,128GB,,42767.12,48599.00
142,36,White,128GB,,42767.12,48599.00
143,36,Black,256GB,,48399.12,54999.00
144,36,White,256GB,,48399.12,54999.00
145,37,Gray,128GB,,43999.12,49999.00
146,37,Blue,128GB,,43999.12,49999.00
147,37,Gray,256GB,,49279.12,55999.00
148,37,Blue,256GB,,49279.12,55999.00
149,38,Green,128GB,,36607.12,41599.00
150,38,Red,128GB,,36607.12,41599.00
151,38,Green,256GB,,41359.12,46999.00
152,38,Red,256GB,,41359.12,46999.00
153,39,Black,128GB,,43647.12,49599.00
154,39,White,128GB,,43647.12,49599.00
155,39,Black,256GB,,49279.12,55999.00
156,39,White,256GB,,49279.12,55999.00
157,40,Red,128GB,,36519.12,41499.00
158,40,Pink,128GB,,36519.12,41499.00
159,40,Red,256GB,,41271.12,46899.00
160,40,Pink,256GB,,41271.12,46899.00
161,41,Gray,128GB,,32735.12,37199.00
162,41,Blue,128GB,,32735.12,37199.00
163,41,Gray,256GB,,36959.12,41999.00
164,41,Blue,256GB,,36959.12,41999.00
165,42,Silver,128GB,,34319.12,38999.00
166,42,Gray,128GB,,34319.12,38999.00
167,42,Silver,256GB,,38807.12,44099.00
168,42,Gray,256GB,,38807.12,44099.00
169,43,Black,128GB,,36079.12,40999.00
170,43,White,128GB,,36079.12,40999.00
171,43,Black,256GB,,40743.12,46299.00
172,43,White,256GB,,40743.12,46299.00
173,44,Purple,128GB,,21647.12,24599.00
174,44,Gold,128GB,,21647.12,24599.00
175,44,Purple,256GB,,24463.12,27799.00
176,44,Gold,256GB,,24463.12,27799.00
177,45,Pink,128GB,,45759.12,51999.00
178,45,Purple,128GB,,45759.12,51999.00
179,45,Pink,256GB,,51919.12,58999.00
180,45,Purple,256GB,,51919.12,58999.00
181,46,Silver,128GB,,37311.12,42399.00
182,46,Gray,128GB,,37311.12,42399.00
183,46,Silver,256GB,,42151.12,47899.00
184,46,Gray,256GB,,42151.12,47899.00
185,47,Green,128GB,,38103.12,43299.00
186,47,Red,128GB,,38103.12,43299.00
187,47,Green,256GB,,43031.12,48899.00
188,47,Red,256GB,,43031.12,48899.00
189,48,Blue,128GB,,31591.12,35899.00
190,48,Green,128GB,,31591.12,35899.00
191,48,Blue,256GB,,35727.12,40599.00
192,48,Green,256GB,,35727.12,40599.00
193,49,Silver,128GB,,43911.12,49899.00
194,49,Gray,128GB,,43911.12,49899.00
195,49,Silver,256GB,,49279.12,55999.00
196,49,Gray,256GB,,49279.12,55999.00
197,50,Green,128GB,,42679.12,48499.00
198,50,Red,128GB,,42679.12,48499.00
199,50,Green,256GB,,48399.12,54999.00
200,50,Red,256GB,,48399.12,54999.00
201,51,Blue,512GB,13 Inch,105599.12,119999.00
202,51,Pink,512GB,13 Inch,105599.12,119999.00
203,51,Blue,1TB,13 Inch,119679.12,135999.00
204,51,Pink,1TB,13 Inch,119679.12,135999.00
205,52,Titanium White,512GB,16 Inch,146079.12,165999.00
206,52,Titanium Blue,512GB,16 Inch,146079.12,165999.00
207,52,Titanium White,1TB,16 Inch,165439.12,187999.00
208,52,Titanium Blue,1TB,16 Inch,165439.12,187999.00
209,53,Purple,512GB,14 Inch,85999.14,99999.00
210,53,Gold,512GB,14 Inch,85999.14,99999.00
211,53,Purple,1TB,14 Inch,97179.14,112999.00
212,53,Gold,1TB,14 Inch,97179.14,112999.00
213,54,Pink,512GB,16 Inch,97179.14,112999.00
214,54,Purple,512GB,16 Inch,97179.14,112999.00
215,54,Pink,1TB,16 Inch,110079.14,127999.00
216,54,Purple,1TB,16 Inch,110079.14,127999.00
217,55,Pink,512GB,14 Inch,79979.14,92999.00
218,55,Purple,512GB,14 Inch,79979.14,92999.00
219,55,Pink,1TB,14 Inch,91159.14,105999.00
220,55,Purple,1TB,14 Inch,91159.14,105999.00
221,56,Gray,512GB,14 Inch,85139.14,98999.00
222,56,Blue,512GB,14 Inch,85139.14,98999.00
223,56,Gray,1TB,14 Inch,96319.14,111999.00
224,56,Blue,1TB,14 Inch,96319.14,111999.00
225,57,Black,512GB,15 Inch,84279.14,97999.00
226,57,White,512GB,15 Inch,84279.14,97999.00
227,57,Black,1TB,15 Inch,95459.14,110999.00
228,57,White,1TB,15 Inch,95459.14,110999.00
229,58,Black,512GB,15 Inch,83419.14,96999.00
230,58,White,512GB,15 Inch,83419.14,96999.00
231,58,Black,1TB,15 Inch,94599.14,109999.00
232,58,White,1TB,15 Inch,94599.14,109999.00
233,59,Gray,512GB,16 Inch,97179.14,112999.00
234,59,Blue,512GB,16 Inch,97179.14,112999.00
235,59,Gray,1TB,16 Inch,110079.14,127999.00
236,59,Blue,1TB,16 Inch,110079.14,127999.00
237,60,Black,512GB,14 Inch,110939.14,128999.00
238,60,White,512GB,14 Inch,110939.14,128999.00
239,60,Black,1TB,14 Inch,125559.14,145999.00
240,60,White,1TB,14 Inch,125559.14,145999.00
241,61,Silver,512GB,15 Inch,95459.14,110999.00
242,61,Gray,512GB,15 Inch,95459.14,110999.00
243,61,Silver,1TB,15 Inch,107499.14,124999.00
244,61,Gray,1TB,15 Inch,107499.14,124999.00
245,62,Gray,512GB,15 Inch,102339.14,118999.00
246,62,Blue,512GB,15 Inch,102339.14,118999.00
247,62,Gray,1TB,15 Inch,116099.14,134999.00
248,62,Blue,1TB,15 Inch,116099.14,134999.00
249,63,White,512GB,15 Inch,98899.14,114999.00
250,63,Silver,512GB,15 Inch,98899.14,114999.00
251,63,White,1TB,15 Inch,111799.14,129999.00
252,63,Silver,1TB,15 Inch,111799.14,129999.00
253,64,Gray,512GB,13 Inch,88579.14,102999.00
254,64,Blue,512GB,13 Inch,88579.14,102999.00
255,64,Gray,1TB,13 Inch,100619.14,116999.00
256,64,Blue,1TB,13 Inch,100619.14,116999.00
257,65,Black,512GB,14 Inch,93739.14,108999.00
258,65,White,512GB,14 Inch,93739.14,108999.00
259,65,Black,1TB,14 Inch,105779.14,122999.00
260,65,White,1TB,14 Inch,105779.14,122999.00
261,66,Green,512GB,16 Inch,109219.14,126999.00
262,66,Red,512GB,16 Inch,109219.14,126999.00
263,66,Green,1TB,16 Inch,122979.14,142999.00
264,67,Pink,512GB,14 Inch,78259.14,90999.00
265,67,Purple,512GB,14 Inch,78259.14,90999.00
266,67,Pink,1TB,14 Inch,88579.14,102999.00
267,68,Red,512GB,16 Inch,149639.14,173999.00
268,68,Pink,512GB,16 Inch,149639.14,173999.00
269,68,Red,1TB,16 Inch,169419.14,196999.00
270,69,Green,512GB,16 Inch,99759.14,115999.00
271,69,Red,512GB,16 Inch,99759.14,115999.00
272,69,Green,1TB,16 Inch,113519.14,131999.00
273,70,Black,512GB,15 Inch,81699.14,94999.00
274,70,White,512GB,15 Inch,81699.14,94999.00
275,70,Black,1TB,15 Inch,92879.14,107999.00
276,71,Red,512GB,15 Inch,93739.14,108999.00
277,71,Pink,512GB,15 Inch,93739.14,108999.00
278,71,Red,1TB,15 Inch,106639.14,123999.00
279,72,Purple,512GB,16 Inch,116099.14,134999.00
280,72,Gold,512GB,16 Inch,116099.14,134999.00
281,72,Purple,1TB,16 Inch,131579.14,152999.00
282,73,Gold,512GB,15 Inch,86859.14,100999.00
283,73,Black,512GB,15 Inch,86859.14,100999.00
284,73,Gold,1TB,15 Inch,98039.14,113999.00
285,74,Green,512GB,14 Inch,77399.14,89999.00
286,74,Red,512GB,14 Inch,77399.14,89999.00
287,74,Green,1TB,14 Inch,86859.14,100999.00
288,75,White,512GB,14 Inch,70519.14,81999.00
289,75,Silver,512GB,14 Inch,70519.14,81999.00
290,75,White,1TB,14 Inch,79979.14,92999.00
291,76,Gold,512GB,16 Inch,91159.14,105999.00
292,76,Black,512GB,16 Inch,91159.14,105999.00
293,76,Gold,1TB,16 Inch,103199.14,119999.00
294,77,Blue,512GB,15 Inch,85999.14,99999.00
295,77,Green,512GB,15 Inch,85999.14,99999.00
296,77,Blue,1TB,15 Inch,97179.14,112999.00
297,78,Red,512GB,16 Inch,91159.14,105999.00
298,78,Pink,512GB,16 Inch,91159.14,105999.00
299,78,Red,1TB,16 Inch,103199.14,119999.00
300,79,Blue,512GB,15 Inch,97179.14,112999.00
301,79,Green,512GB,15 Inch,97179.14,112999.00
302,79,Blue,1TB,15 Inch,110079.14,127999.00
303,80,Blue,512GB,15 Inch,93739.14,108999.00
304,80,Green,512GB,15 Inch,93739.14,108999.00
305,80,Blue,1TB,15 Inch,106639.14,123999.00
306,81,Blue,512GB,15 Inch,129359.12,146999.00
307,81,Green,512GB,15 Inch,129359.12,146999.00
308,81,Blue,1TB,15 Inch,146079.12,165999.00
309,82,Gray,512GB,15 Inch,104719.12,118999.00
310,82,Blue,512GB,15 Inch,104719.12,118999.00
311,82,Gray,1TB,15 Inch,118799.12,134999.00
312,83,Silver,512GB,14 Inch,87999.12,99999.00
313,83,Gray,512GB,14 Inch,87999.12,99999.00
314,83,Silver,1TB,14 Inch,99439.12,112999.00
315,84,Gray,512GB,16 Inch,106639.14,123999.00
316,84,Blue,512GB,16 Inch,106639.14,123999.00
317,84,Gray,1TB,16 Inch,120399.14,139999.00
318,85,Red,512GB,15 Inch,106639.14,123999.00
319,85,Pink,512GB,15 Inch,106639.14,123999.00
320,85,Red,1TB,15 Inch,121259.14,140999.00
321,86,Starlight,128GB,11 Inch,51039.12,57999.00
322,86,Space Gray,128GB,11 Inch,51039.12,57999.00
323,86,Starlight,256GB,11 Inch,58079.12,65999.00
324,86,Space Gray,256GB,11 Inch,58079.12,65999.00
325,87,Starlight,128GB,11 Inch,47519.12,53999.00
326,87,Space Gray,128GB,11 Inch,47519.12,53999.00
327,87,Starlight,256GB,11 Inch,53679.12,60999.00
328,87,Space Gray,256GB,11 Inch,53679.12,60999.00
329,88,Blue,128GB,8 Inch,27455.12,31199.00
330,88,Pink,128GB,8 Inch,27455.12,31199.00
331,88,Blue,256GB,8 Inch,31063.12,35299.00
332,88,Pink,256GB,8 Inch,31063.12,35299.00
333,89,Titanium White,256GB,11 Inch,61599.12,69999.00
334,89,Titanium Blue,256GB,11 Inch,61599.12,69999.00
335,89,Titanium White,512GB,11 Inch,69519.12,78999.00
336,89,Titanium Blue,512GB,11 Inch,69519.12,78999.00
337,90,Natural Titanium,256GB,11 Inch,65999.12,74999.00
338,90,Titanium Black,256GB,11 Inch,65999.12,74999.00
339,90,Natural Titanium,512GB,11 Inch,73919.12,83999.00
340,90,Titanium Black,512GB,11 Inch,73919.12,83999.00
341,91,Gold,256GB,13 Inch,54559.12,61999.00
342,91,Black,256GB,13 Inch,54559.12,61999.00
343,91,Gold,512GB,13 Inch,61599.12,69999.00
344,91,Black,512GB,13 Inch,61599.12,69999.00
345,92,White,128GB,12.4 Inch,40391.12,45899.00
346,92,Silver,128GB,12.4 Inch,40391.12,45899.00
347,92,White,256GB,12.4 Inch,45759.12,51999.00
348,92,Silver,256GB,12.4 Inch,45759.12,51999.00
349,93,Gold,128GB,11 Inch,40919.12,46499.00
350,93,Black,128GB,11 Inch,40919.12,46499.00
351,93,Gold,256GB,11 Inch,46639.12,52999.00
352,93,Black,256GB,11 Inch,46639.12,52999.00
353,94,Pink,128GB,11 Inch,38103.12,43299.00
354,94,Purple,128GB,11 Inch,38103.12,43299.00
355,94,Pink,256GB,11 Inch,43031.12,48899.00
356,94,Purple,256GB,11 Inch,43031.12,48899.00
357,95,Gray,128GB,11 Inch,38543.12,43799.00
358,95,Blue,128GB,11 Inch,38543.12,43799.00
359,95,Gray,256GB,11 Inch,43559.12,49499.00
360,95,Blue,256GB,11 Inch,43559.12,49499.00
361,96,Silver,256GB,13 Inch,40935.14,47599.00
362,96,Gray,256GB,13 Inch,40935.14,47599.00
363,96,Silver,512GB,13 Inch,46439.14,53999.00
364,97,Purple,256GB,11 Inch,40247.14,46799.00
365,97,Gold,256GB,11 Inch,40247.14,46799.00
366,97,Purple,512GB,11 Inch,45579.14,52999.00
367,98,Purple,128GB,11 Inch,26487.14,30799.00
368,98,Gold,128GB,11 Inch,26487.14,30799.00
369,98,Purple,256GB,11 Inch,29927.14,34799.00
370,99,Red,128GB,11 Inch,37409.14,43499.00
371,99,Pink,128GB,11 Inch,37409.14,43499.00
372,99,Red,256GB,11 Inch,42311.14,49199.00
373,100,Purple,128GB,11 Inch,32335.14,37599.00
374,100,Gold,128GB,11 Inch,32335.14,37599.00
375,100,Purple,256GB,11 Inch,36549.14,42499.00
376,101,Purple,128GB,11 Inch,29755.14,34599.00
377,101,Gold,128GB,11 Inch,29755.14,34599.00
378,101,Purple,256GB,11 Inch,33625.14,39099.00
379,102,White,128GB,11 Inch,32679.14,37999.00
380,102,Silver,128GB,11 Inch,32679.14,37999.00
381,102,White,256GB,11 Inch,36893.14,42899.00
382,103,Purple,128GB,11 Inch,21843.14,25399.00
383,103,Gold,128GB,11 Inch,21843.14,25399.00
384,103,Purple,256GB,11 Inch,24681.14,28699.00
385,104,Pink,128GB,11 Inch,36205.14,42099.00
386,104,Purple,128GB,11 Inch,36205.14,42099.00
387,104,Pink,256GB,11 Inch,40935.14,47599.00
388,105,Silver,256GB,11 Inch,43859.14,50999.00
389,105,Gray,256GB,11 Inch,43859.14,50999.00
390,105,Silver,512GB,11 Inch,49879.14,57999.00
391,106,Black,,55 Inch,63839.16,75999.00
392,106,Black,,65 Inch,81479.16,96999.00
393,106,Black,,75 Inch,104999.16,124999.00
394,107,Black,,55 Inch,60479.16,71999.00
395,107,Black,,65 Inch,77279.16,91999.00
396,107,Black,,75 Inch,99959.16,118999.00
397,108,Silver,,43 Inch,49559.16,58999.00
398,108,Silver,,50 Inch,57119.16,67999.00
399,108,Silver,,55 Inch,62159.16,73999.00
400,109,Silver,,43 Inch,44519.16,52999.00
401,109,Silver,,50 Inch,51239.16,60999.00
402,109,Silver,,55 Inch,55439.16,65999.00
403,110,Gray,,43 Inch,45359.16,53999.00
404,110,Gray,,50 Inch,52919.16,62999.00
405,110,Gray,,55 Inch,57119.16,67999.00
406,111,Black,,55 Inch,60679.18,73999.00
407,111,Black,,65 Inch,77899.18,94999.00
408,111,Black,,75 Inch,100039.18,121999.00
409,112,Silver,,55 Inch,58219.18,70999.00
410,112,Silver,,65 Inch,74619.18,90999.00
411,112,Silver,,75 Inch,95939.18,116999.00
412,113,Silver,,43 Inch,34767.18,42399.00
413,113,Silver,,50 Inch,40015.18,48799.00
414,113,Silver,,55 Inch,43459.18,52999.00
415,114,Black,,43 Inch,39359.18,47999.00
416,114,Black,,50 Inch,45099.18,54999.00
417,114,Black,,55 Inch,49199.18,59999.00
418,115,Gray,,55 Inch,56279.16,66999.00
419,115,Gray,,65 Inch,72239.16,85999.00
420,115,Gray,,75 Inch,93239.16,110999.00
421,116,Gray,,43 Inch,39647.16,47199.00
422,116,Gray,,50 Inch,45359.16,53999.00
423,116,Gray,,55 Inch,49559.16,58999.00
424,117,Black,,43 Inch,44519.16,52999.00
425,117,Black,,50 Inch,51239.16,60999.00
426,117,Black,,55 Inch,55439.16,65999.00
427,118,Silver,,43 Inch,41663.16,49599.00
428,118,Silver,,50 Inch,47879.16,56999.00
429,118,Silver,,55 Inch,52079.16,61999.00
430,119,Silver,,43 Inch,38047.18,46399.00
431,119,Silver,,50 Inch,43459.18,52999.00
432,119,Silver,,55 Inch,47559.18,57999.00
433,120,Black,,43 Inch,34111.18,41599.00
434,120,Black,,50 Inch,39195.18,47799.00
435,120,Black,,55 Inch,42639.18,51999.00
436,121,Silver,,55 Inch,27633.18,33699.00
437,121,Silver,,65 Inch,35341.18,43099.00
438,122,Silver,,43 Inch,38047.18,46399.00
439,122,Silver,,50 Inch,43459.18,52999.00
440,123,Silver,,43 Inch,32061.18,39099.00
441,123,Silver,,50 Inch,36899.18,44999.00
442,124,Silver,,43 Inch,33455.18,40799.00
443,124,Silver,,50 Inch,38457.18,46899.00
444,125,Black,,43 Inch,35423.18,43199.00
445,125,Black,,50 Inch,40753.18,49699.00
446,126,Starlight,,,11231.22,14399.00
447,126,Space Gray,,,11231.22,14399.00
448,126,Silver,,,11231.22,14399.00
449,127,Natural Titanium,,,11153.22,14299.00
450,127,Titanium Black,,,11153.22,14299.00
451,127,Titanium White,,,11153.22,14299.00
452,128,Space Gray,,,7721.22,9899.00
453,128,Silver,,,7721.22,9899.00
454,128,Blue,,,7721.22,9899.00
455,129,Purple,,,9125.22,11699.00
456,129,Gold,,,9125.22,11699.00
457,129,Black,,,9125.22,11699.00
458,130,Silver,,,9047.22,11599.00
459,130,Gray,,,9047.22,11599.00
460,130,Blue,,,9047.22,11599.00
461,131,Gold,,,10607.22,13599.00
462,131,Black,,,10607.22,13599.00
463,131,White,,,10607.22,13599.00
464,132,Silver,,,8891.22,11399.00
465,132,Gray,,,8891.22,11399.00
466,132,Blue,,,8891.22,11399.00
467,133,Green,,,9125.22,11699.00
468,133,Red,,,9125.22,11699.00
469,133,Pink,,,9125.22,11699.00
470,134,Gray,,,8501.22,10899.00
471,134,Blue,,,8501.22,10899.00
472,134,Green,,,8501.22,10899.00
473,135,Black,,,8813.22,11299.00
474,135,White,,,8813.22,11299.00
475,135,Silver,,,8813.22,11299.00
476,136,Green,,,10217.22,13099.00
477,136,Red,,,10217.22,13099.00
478,136,Pink,,,10217.22,13099.00
479,137,Pink,,,6611.24,8699.00
480,137,Purple,,,6611.24,8699.00
481,137,Gold,,,6611.24,8699.00
482,138,Red,,,6383.24,8399.00
483,138,Pink,,,6383.24,8399.00
484,138,Purple,,,6383.24,8399.00
485,139,Blue,,,7371.24,9699.00
486,139,Green,,,7371.24,9699.00
487,139,Red,,,7371.24,9699.00
488,140,Silver,,,7143.24,9399.00
489,140,Gray,,,7143.24,9399.00
490,140,Blue,,,7143.24,9399.00
491,141,Gold,,,8967.24,11799.00
492,141,Black,,,8967.24,11799.00
493,141,White,,,8967.24,11799.00
494,142,Pink,,,11551.24,15199.00
495,142,Purple,,,11551.24,15199.00
496,142,Gold,,,11551.24,15199.00
497,143,Gray,,,13223.24,17399.00
498,143,Blue,,,13223.24,17399.00
499,143,Green,,,13223.24,17399.00
500,144,Purple,,,12311.24,16199.00
501,144,Gold,,,12311.24,16199.00
502,144,Black,,,12311.24,16199.00
503,145,Red,,,8891.24,11699.00
504,145,Pink,,,8891.24,11699.00
505,145,Purple,,,8891.24,11699.00
506,146,Pink,,,7599.24,9999.00
507,146,Purple,,,7599.24,9999.00
508,147,Pink,,,5167.24,6799.00
509,147,Purple,,,5167.24,6799.00
510,148,Silver,,,4331.24,5699.00
511,148,Gray,,,4331.24,5699.00
512,149,Silver,,,4331.24,5699.00
513,149,Gray,,,4331.24,5699.00
514,150,Black,,,5395.24,7099.00
515,150,White,,,5395.24,7099.00
516,151,Gold,,,4635.24,6099.00
517,151,Black,,,4635.24,6099.00
518,152,Green,,,6459.24,8499.00
519,152,Red,,,6459.24,8499.00
520,153,White,,,5395.24,7099.00
521,153,Silver,,,5395.24,7099.00
522,154,Gold,,,6383.24,8399.00
523,154,Black,,,6383.24,8399.00
524,155,Silver,,,7599.24,9999.00
525,155,Gray,,,7599.24,9999.00
526,156,Black,,,6763.24,8899.00
527,156,White,,,6763.24,8899.00
528,157,Silver,,,6535.24,8599.00
529,157,Gray,,,6535.24,8599.00
530,158,Green,,,8207.24,10799.00
531,158,Red,,,8207.24,10799.00
532,159,Blue,,,8207.24,10799.00
533,159,Green,,,8207.24,10799.00
534,160,Blue,,,11171.24,14699.00
535,160,Green,,,11171.24,14699.00
536,161,Pink,,41 mm,19599.20,24499.00
537,161,Midnight,,41 mm,19599.20,24499.00
538,161,Starlight,,41 mm,19599.20,24499.00
539,162,Titanium White,,49 mm,34159.20,42699.00
540,162,Titanium Blue,,49 mm,34159.20,42699.00
541,162,Natural Titanium,,49 mm,34159.20,42699.00
542,163,Blue,,41 mm,18879.20,23599.00
543,163,Pink,,41 mm,18879.20,23599.00
544,163,Midnight,,41 mm,18879.20,23599.00
545,164,Pink,,41 mm,30959.20,38699.00
546,164,Midnight,,41 mm,30959.20,38699.00
547,164,Starlight,,41 mm,30959.20,38699.00
548,165,Pink,,41 mm,17759.20,22199.00
549,165,Black,,41 mm,17759.20,22199.00
550,165,Silver,,41 mm,17759.20,22199.00
551,166,Silver,,41 mm,16079.20,20099.00
552,166,Gold,,41 mm,16079.20,20099.00
553,166,Midnight,,41 mm,16079.20,20099.00
554,167,Gold,,49 mm,24319.20,30399.00
555,167,Midnight,,49 mm,24319.20,30399.00
556,167,Blue,,49 mm,24319.20,30399.00
557,168,Blue,,40 mm,20159.20,25199.00
558,168,Pink,,40 mm,20159.20,25199.00
559,168,Black,,40 mm,20159.20,25199.00
560,169,Silver,,41 mm,15833.22,20299.00
561,169,Gold,,41 mm,15833.22,20299.00
562,169,Midnight,,41 mm,15833.22,20299.00
563,170,Black,,41 mm,15521.22,19899.00
564,170,Silver,,41 mm,15521.22,19899.00
565,170,Gold,,41 mm,15521.22,19899.00
566,171,Midnight,,41 mm,18797.22,24099.00
567,171,Blue,,41 mm,18797.22,24099.00
568,171,Pink,,41 mm,18797.22,24099.00
569,172,Black,,41 mm,12713.22,16299.00
570,172,Silver,,41 mm,12713.22,16299.00
571,172,Gold,,41 mm,12713.22,16299.00
572,173,Gold,,41 mm,12713.22,16299.00
573,173,Midnight,,41 mm,12713.22,16299.00
574,173,Blue,,41 mm,12713.22,16299.00
