return_id,order_detail_id,return_datetime,returned_quantity,return_status
74,3710,2017-05-24 10:19:23,1,Refunded
75,4135,2017-07-02 20:04:32,1,Refunded
76,4151,2017-07-04 23:24:18,1,Refunded
77,4241,2017-07-09 9:11:53,1,Rejected
78,4297,2017-07-13 5:16:22,1,Refunded
79,4263,2017-08-16 18:05:16,1,Refunded
80,4847,2017-08-29 19:31:10,1,Refunded
81,4766,2017-08-30 7:56:19,1,Refunded
82,4846,2017-09-12 5:36:26,1,Refunded
83,4971,2017-09-13 4:07:44,1,Replaced
84,5062,2017-09-22 17:19:30,1,Replaced
85,4918,2017-10-03 16:16:24,1,Refunded
86,4638,2017-10-06 4:34:17,1,Rejected
87,5337,2017-10-16 1:43:16,1,Refunded
88,5502,2017-10-16 9:13:30,1,Refunded
89,5494,2017-10-26 9:21:13,1,Refunded
90,5717,2017-10-26 13:17:41,1,Requested
91,5616,2017-10-28 6:06:41,1,Refunded
92,5820,2017-10-30 23:57:18,1,Refunded
93,5712,2017-11-02 7:10:28,1,Refunded
94,5882,2017-11-03 2:23:30,2,Refunded
95,5928,2017-11-08 9:40:40,1,Refunded
96,6101,2017-11-11 3:52:21,1,Refunded
97,5802,2017-11-11 17:45:28,1,Refunded
98,6229,2017-11-19 10:27:39,2,Refunded
99,6182,2017-11-19 21:13:33,2,Approved
100,6373,2017-11-29 7:55:47,1,Refunded
101,6398,2017-12-02 9:25:27,1,Rejected
102,6555,2017-12-02 20:30:28,1,Replaced
103,6424,2017-12-03 7:40:20,1,Refunded
104,6422,2017-12-05 15:51:29,1,Refunded
105,6482,2017-12-24 4:00:22,1,Refunded
106,6574,2017-12-28 19:35:55,1,Replaced
107,6698,2018-01-01 21:18:12,1,Refunded
108,7082,2018-01-13 7:24:29,1,Refunded
109,6989,2018-01-19 0:21:48,1,Refunded
110,7179,2018-01-20 5:59:42,2,Refunded
111,7157,2018-01-21 1:22:55,1,Refunded
112,7209,2018-01-23 23:27:00,1,Refunded
113,7292,2018-01-25 8:10:06,3,Refunded
114,7280,2018-01-29 16:34:31,1,Refunded
115,7486,2018-02-04 22:43:48,1,Refunded
116,7541,2018-02-08 2:27:30,1,Refunded
117,7516,2018-02-08 12:01:15,1,Refunded
118,7553,2018-02-08 15:49:08,2,Refunded
119,7298,2018-02-16 7:18:02,1,Refunded
120,7955,2018-02-23 21:15:38,1,Refunded
121,7775,2018-02-28 9:20:12,1,Approved
122,8020,2018-02-28 16:11:24,2,Refunded
123,7763,2018-03-02 21:49:11,1,Refunded
124,7686,2018-03-04 19:57:49,1,Rejected
125,8074,2018-03-07 12:45:14,1,Approved
126,8145,2018-03-09 18:05:37,1,Rejected
127,8192,2018-03-10 19:50:49,1,Rejected
128,8231,2018-03-17 19:44:30,1,Refunded
129,8157,2018-03-19 0:37:53,1,Replaced
130,8347,2018-03-20 10:29:10,2,Replaced
131,8575,2018-03-28 20:52:07,1,Refunded
132,8820,2018-04-13 2:08:51,1,Refunded
133,8635,2018-04-15 8:20:03,1,Rejected
134,8879,2018-04-16 7:46:18,3,Refunded
135,8902,2018-04-18 9:41:08,1,Refunded
136,8649,2018-04-19 11:02:15,1,Replaced
137,8631,2018-04-23 20:24:53,1,Refunded
138,9093,2018-04-26 0:10:44,1,Refunded
139,9018,2018-04-27 21:09:37,1,Refunded
140,9094,2018-04-28 16:57:44,1,Refunded
141,9260,2018-04-29 9:15:20,1,Rejected
142,9290,2018-05-09 7:48:28,1,Refunded
143,9510,2018-05-14 14:20:33,1,Replaced
144,9468,2018-05-14 20:53:34,1,Refunded
145,9698,2018-05-21 0:16:19,1,Refunded
146,9657,2018-05-22 9:34:03,2,Refunded
147,9722,2018-05-22 16:18:34,1,Refunded
148,9690,2018-05-23 8:18:06,1,Refunded
149,9481,2018-05-28 3:46:00,1,Refunded
150,9862,2018-05-29 11:42:10,1,Refunded
151,9821,2018-05-30 11:06:34,1,Refunded
152,9900,2018-06-08 9:00:10,1,Refunded
153,10006,2018-06-09 2:08:45,1,Replaced
154,10090,2018-06-10 13:56:53,1,Rejected
155,9857,2018-06-11 12:14:45,1,Refunded
156,10153,2018-06-12 23:50:02,1,Refunded
157,9880,2018-06-17 0:44:55,1,Refunded
158,10075,2018-06-22 4:17:57,1,Approved
159,10364,2018-06-23 0:19:07,1,Refunded
160,10311,2018-06-23 4:58:55,2,Replaced
161,10422,2018-06-27 17:01:32,1,Refunded
162,10339,2018-06-28 9:57:22,1,Replaced
163,10314,2018-07-01 21:25:09,1,Refunded
164,10578,2018-07-02 6:49:44,1,Refunded
165,9543,2018-07-03 6:02:02,1,Refunded
166,10535,2018-07-04 10:37:35,1,Refunded
167,10599,2018-07-07 20:57:00,1,Replaced
168,10763,2018-07-15 7:58:17,1,Refunded
169,11186,2018-08-03 5:38:29,3,Refunded
170,10715,2018-08-06 1:03:38,1,Refunded
171,11212,2018-08-11 17:25:51,1,Refunded
172,11512,2018-08-19 12:21:05,1,Refunded
173,11606,2018-08-24 7:34:22,1,Rejected
174,12020,2018-09-07 3:25:29,1,Replaced
175,11750,2018-09-07 7:18:20,1,Rejected
176,11785,2018-09-11 16:03:08,1,Replaced
177,12146,2018-09-12 15:37:30,1,Refunded
178,12271,2018-09-17 21:22:30,1,Refunded
179,12205,2018-09-18 3:45:08,1,Refunded
180,12268,2018-09-21 1:45:20,1,Refunded
181,12257,2018-09-21 12:56:44,1,Refunded
182,12356,2018-09-21 13:07:32,1,Refunded
183,12226,2018-09-21 14:06:51,1,Refunded
184,12357,2018-09-26 8:46:50,1,Replaced
185,11800,2018-09-26 14:01:24,1,Refunded
186,12483,2018-09-29 5:05:53,1,Approved
187,12394,2018-09-29 10:06:07,1,Requested
188,12432,2018-09-30 9:12:20,1,Replaced
189,12735,2018-10-11 11:58:58,1,Refunded
190,12827,2018-10-11 23:03:15,1,Rejected
191,13078,2018-10-16 3:55:59,1,Refunded
192,12966,2018-10-17 0:48:59,1,Replaced
193,13093,2018-10-18 17:15:08,1,Replaced
194,13097,2018-10-21 9:22:34,1,Refunded
195,13325,2018-10-23 19:47:49,1,Refunded
196,13092,2018-10-24 15:02:47,1,Approved
197,13503,2018-10-27 8:33:50,1,Replaced
198,13202,2018-10-29 23:56:45,1,Refunded
199,13762,2018-11-06 18:19:28,1,Refunded
200,13015,2018-11-06 20:41:03,1,Approved
201,13825,2018-11-09 5:03:40,2,Replaced
202,14008,2018-11-13 14:44:21,1,Refunded
203,14213,2018-11-13 22:08:56,1,Refunded
204,14298,2018-11-16 13:01:25,1,Refunded
205,13914,2018-11-17 4:04:09,1,Rejected
206,14117,2018-11-17 7:16:47,1,Refunded
207,14274,2018-11-17 22:45:00,1,Rejected
208,14435,2018-11-22 6:47:00,2,Refunded
209,14605,2018-11-26 10:54:28,1,Approved
210,14469,2018-11-28 10:33:59,1,Refunded
211,14852,2018-11-29 11:50:38,1,Refunded
212,14430,2018-11-30 9:51:15,1,Refunded
213,14796,2018-11-30 16:29:01,1,Refunded
214,14753,2018-12-01 0:13:26,1,Refunded
215,14755,2018-12-01 3:36:24,1,Replaced
216,14910,2018-12-01 13:39:22,1,Refunded
217,15037,2018-12-08 10:18:08,1,Replaced
218,15243,2018-12-10 3:52:26,2,Refunded
219,15071,2018-12-10 12:21:24,1,Rejected
220,15122,2018-12-13 9:36:25,1,Refunded
221,15280,2018-12-14 9:05:47,1,Replaced
222,15312,2018-12-17 1:58:40,1,Rejected
223,15454,2018-12-20 8:23:25,1,Refunded
224,15549,2018-12-24 18:09:48,1,Refunded
225,15519,2018-12-29 1:31:07,1,Requested
226,15182,2018-12-30 7:00:38,1,Refunded
227,15405,2018-12-30 12:10:42,1,Refunded
228,15657,2018-12-30 16:52:12,1,Refunded
229,15621,2018-12-31 8:24:48,1,Approved
230,15718,2019-01-02 11:29:06,1,Refunded
231,15859,2019-01-06 23:31:42,1,Rejected
232,15675,2019-01-08 8:52:45,1,Refunded
233,15702,2019-01-11 9:45:25,1,Refunded
234,15841,2019-01-11 22:53:33,1,Refunded
235,16080,2019-01-13 10:11:44,1,Refunded
236,16049,2019-01-13 18:11:55,1,Refunded
237,16037,2019-01-16 17:37:20,1,Replaced
238,16099,2019-01-18 2:34:11,1,Refunded
239,16079,2019-01-18 21:24:22,1,Rejected
240,16089,2019-01-19 14:55:58,1,Refunded
241,16266,2019-01-20 6:38:40,1,Refunded
242,16215,2019-01-22 2:39:14,1,Refunded
243,15350,2019-01-27 20:56:03,1,Refunded
244,16162,2019-01-29 13:37:26,1,Refunded
245,16734,2019-01-29 21:22:25,1,Refunded
246,15908,2019-02-03 20:42:12,1,Refunded
247,16382,2019-02-04 5:47:44,1,Refunded
248,16046,2019-02-05 5:56:30,1,Refunded
249,16522,2019-02-05 7:54:30,1,Replaced
250,16963,2019-02-05 8:37:26,1,Replaced
251,16827,2019-02-06 14:21:38,1,Refunded
252,16600,2019-02-07 11:09:53,1,Refunded
253,16959,2019-02-07 13:39:44,1,Refunded
254,16916,2019-02-09 15:54:53,1,Refunded
255,16809,2019-02-12 3:16:39,1,Rejected
256,17055,2019-02-12 21:33:55,1,Refunded
257,17041,2019-02-14 10:18:14,1,Refunded
258,17147,2019-02-14 12:02:37,1,Refunded
259,17135,2019-02-15 20:37:06,2,Replaced
260,17499,2019-02-23 15:18:50,1,Replaced
261,17613,2019-03-02 12:53:48,1,Refunded
262,17905,2019-03-05 12:36:35,2,Refunded
263,17728,2019-03-06 4:51:43,1,Requested
264,17724,2019-03-06 14:39:52,1,Approved
265,17882,2019-03-08 6:51:33,1,Refunded
266,18190,2019-03-17 17:30:55,1,Rejected
267,18401,2019-03-20 12:02:44,1,Refunded
268,18357,2019-03-20 12:31:32,1,Replaced
269,18447,2019-03-22 0:41:14,1,Requested
270,18426,2019-03-22 10:28:24,1,Requested
271,18220,2019-03-26 12:29:13,1,Rejected
272,18632,2019-03-26 23:48:16,1,Replaced
273,18586,2019-03-28 18:32:50,1,Replaced
274,18489,2019-04-07 12:10:25,1,Refunded
275,18979,2019-04-10 1:55:25,1,Refunded
276,19103,2019-04-12 7:32:35,1,Refunded
277,19240,2019-04-14 15:52:06,1,Replaced
278,17923,2019-04-16 1:56:33,1,Refunded
279,19435,2019-04-17 13:37:00,1,Replaced
280,19351,2019-04-17 19:08:34,1,Refunded
281,19386,2019-04-19 4:26:29,1,Replaced
282,19262,2019-04-24 15:52:51,1,Rejected
283,18899,2019-04-25 9:42:58,1,Replaced
284,19758,2019-04-26 12:42:34,1,Refunded
285,19364,2019-04-27 9:24:03,1,Refunded
286,19837,2019-05-08 22:10:29,1,Rejected
287,20128,2019-05-09 4:44:46,1,Refunded
288,20153,2019-05-14 13:04:47,1,Rejected
289,20601,2019-05-17 5:32:37,1,Refunded
290,20462,2019-05-17 11:31:20,1,Refunded
291,20412,2019-05-19 5:22:22,1,Refunded
292,20671,2019-05-23 12:04:13,1,Refunded
293,20859,2019-05-24 20:33:17,1,Refunded
294,20729,2019-05-26 21:24:37,1,Refunded
295,20737,2019-05-27 0:46:03,1,Refunded
296,20443,2019-05-27 6:03:33,1,Refunded
297,20804,2019-05-29 2:20:21,1,Rejected
298,20944,2019-05-29 10:09:03,1,Refunded
299,20984,2019-05-31 2:34:04,2,Refunded
300,21004,2019-06-01 8:03:24,1,Refunded
301,20767,2019-06-02 3:42:17,1,Refunded
302,21088,2019-06-02 11:00:36,1,Rejected
303,21019,2019-06-02 14:41:13,1,Refunded
304,20346,2019-06-04 1:19:11,1,Refunded
305,20756,2019-06-06 5:58:51,1,Refunded
306,21278,2019-06-08 0:38:31,1,Refunded
307,21385,2019-06-15 6:28:10,1,Refunded
308,21736,2019-06-23 20:41:05,1,Refunded
309,21777,2019-06-26 4:11:55,1,Refunded
310,21901,2019-06-26 12:10:49,2,Refunded
311,21860,2019-06-26 13:55:31,1,Replaced
312,21935,2019-06-27 18:46:12,1,Refunded
313,22057,2019-07-01 4:01:04,1,Refunded
314,22065,2019-07-01 10:39:41,1,Refunded
315,22189,2019-07-05 23:49:52,2,Replaced
316,22028,2019-07-07 0:58:03,1,Replaced
317,22455,2019-07-12 11:55:07,1,Approved
318,22299,2019-07-14 0:45:40,1,Rejected
319,22580,2019-07-16 0:48:49,1,Refunded
320,22135,2019-07-16 10:49:22,1,Refunded
321,22454,2019-07-18 15:58:53,1,Refunded
322,22534,2019-07-18 20:56:52,2,Refunded
323,22558,2019-07-23 15:19:17,1,Refunded
324,19163,2019-07-24 7:03:25,1,Refunded
325,22629,2019-07-31 22:48:32,1,Refunded
326,22284,2019-08-02 4:39:41,1,Refunded
327,23026,2019-08-02 13:02:27,1,Approved
328,23206,2019-08-03 15:23:56,1,Replaced
329,23096,2019-08-04 13:11:02,1,Approved
330,22674,2019-08-05 13:49:12,1,Approved
331,23070,2019-08-06 7:50:41,1,Refunded
332,23390,2019-08-06 13:30:48,1,Replaced
333,21680,2019-08-12 3:26:40,1,Refunded
334,23151,2019-08-15 6:30:13,1,Replaced
335,22770,2019-08-16 8:30:14,1,Replaced
336,23199,2019-08-17 7:13:54,1,Refunded
337,23823,2019-08-18 23:05:29,1,Refunded
338,22193,2019-08-20 6:19:47,1,Replaced
339,23813,2019-08-21 16:35:15,1,Approved
340,23902,2019-08-24 5:03:21,1,Refunded
341,23259,2019-08-24 9:44:25,1,Refunded
342,23814,2019-08-24 17:35:28,1,Rejected
343,23809,2019-08-24 21:32:55,1,Refunded
344,24047,2019-08-27 9:36:14,1,Refunded
345,23846,2019-08-28 16:21:25,1,Rejected
346,24119,2019-08-29 22:22:27,1,Rejected
347,24073,2019-08-30 14:13:47,1,Refunded
348,24118,2019-08-31 7:39:44,1,Replaced
349,24125,2019-09-02 22:27:39,1,Refunded
350,23836,2019-09-04 17:19:23,1,Refunded
351,24105,2019-09-07 12:38:32,1,Refunded
352,23923,2019-09-07 13:15:12,1,Refunded
353,24469,2019-09-07 16:47:39,1,Refunded
354,24281,2019-09-14 0:11:54,1,Refunded
355,25027,2019-09-17 4:17:45,1,Rejected
356,24766,2019-09-18 9:31:57,1,Approved
357,24702,2019-09-18 10:26:32,1,Refunded
358,24607,2019-09-18 19:10:49,1,Refunded
359,24544,2019-09-19 4:07:48,1,Refunded
360,24029,2019-09-19 10:25:51,1,Rejected
361,24839,2019-09-20 1:54:47,1,Refunded
362,25150,2019-09-25 23:01:54,1,Replaced
363,24687,2019-09-27 2:33:23,1,Refunded
364,25408,2019-09-30 4:20:56,1,Refunded
365,25486,2019-09-30 11:30:19,1,Refunded
366,25759,2019-10-03 6:15:32,1,Approved
367,25812,2019-10-03 19:27:55,3,Refunded
368,25520,2019-10-05 5:48:24,1,Refunded
369,25890,2019-10-06 0:34:39,1,Refunded
370,26005,2019-10-08 7:06:14,1,Rejected
371,25919,2019-10-09 16:39:09,1,Refunded
372,26122,2019-10-11 3:26:59,1,Replaced
373,25871,2019-10-11 13:17:29,1,Refunded
374,25832,2019-10-13 13:54:15,1,Refunded
375,26514,2019-10-14 5:01:47,1,Replaced
376,26533,2019-10-14 5:54:37,1,Refunded
377,26546,2019-10-15 0:18:10,1,Rejected
378,26625,2019-10-16 3:37:00,1,Refunded
379,26397,2019-10-16 11:11:43,1,Refunded
380,26717,2019-10-18 15:55:29,1,Rejected
381,26570,2019-10-19 23:50:06,1,Approved
382,26048,2019-10-20 5:12:03,1,Refunded
383,25464,2019-10-22 17:26:35,1,Refunded
384,26684,2019-10-22 18:57:37,1,Refunded
385,26959,2019-10-23 8:35:44,1,Refunded
386,27169,2019-10-24 15:02:30,1,Refunded
387,26764,2019-10-25 13:48:01,1,Refunded
388,26710,2019-10-28 7:38:45,1,Refunded
389,27530,2019-10-29 13:03:36,1,Refunded
390,27586,2019-10-30 3:10:52,1,Rejected
391,25845,2019-10-31 7:13:14,1,Refunded
392,27733,2019-11-01 21:42:56,1,Refunded
393,27509,2019-11-03 8:14:18,1,Refunded
394,27557,2019-11-05 9:19:29,1,Refunded
395,27226,2019-11-07 2:09:42,1,Refunded
396,27381,2019-11-07 18:34:12,1,Refunded
397,26970,2019-11-07 23:22:10,1,Refunded
398,28216,2019-11-09 21:06:06,1,Refunded
399,27558,2019-11-10 21:17:20,1,Refunded
400,28232,2019-11-11 22:42:49,1,Replaced
401,27336,2019-11-12 0:43:54,1,Refunded
402,27772,2019-11-14 9:44:08,1,Refunded
403,28268,2019-11-17 8:21:18,1,Replaced
404,27073,2019-11-17 16:15:40,1,Refunded
405,28457,2019-11-20 12:38:09,1,Refunded
406,29282,2019-11-21 10:44:56,1,Replaced
407,28818,2019-11-22 3:45:51,1,Refunded
408,29098,2019-11-22 20:39:33,1,Approved
409,29539,2019-11-25 20:29:33,1,Refunded
410,29754,2019-11-26 17:45:35,1,Rejected
411,29520,2019-11-28 17:50:21,1,Refunded
412,29918,2019-11-30 20:29:47,1,Replaced
413,28997,2019-12-01 0:27:04,1,Replaced
414,30122,2019-12-02 3:44:08,2,Refunded
415,29230,2019-12-03 23:56:09,1,Approved
416,29341,2019-12-04 13:54:00,1,Refunded
417,29758,2019-12-05 12:28:45,1,Refunded
418,28564,2019-12-07 5:33:43,1,Refunded
419,30417,2019-12-07 18:36:48,2,Refunded
420,29691,2019-12-08 7:11:20,1,Approved
421,30142,2019-12-08 11:32:24,1,Refunded
422,30346,2019-12-09 0:00:37,2,Replaced
423,30491,2019-12-11 17:49:44,2,Refunded
424,30333,2019-12-12 10:07:03,1,Refunded
425,30611,2019-12-13 10:56:41,1,Refunded
426,30425,2019-12-14 5:49:39,2,Refunded
427,30582,2019-12-14 14:56:10,1,Refunded
428,30805,2019-12-19 11:27:16,1,Refunded
429,25681,2019-12-19 11:55:33,1,Requested
430,30446,2019-12-20 13:06:38,1,Replaced
431,30900,2019-12-23 10:41:26,1,Rejected
432,30810,2019-12-26 0:05:56,1,Refunded
433,31139,2019-12-29 1:46:18,3,Refunded
434,31207,2020-01-02 7:40:09,1,Refunded
435,31299,2020-01-04 11:13:40,1,Refunded
436,31184,2020-01-05 11:28:49,1,Rejected
437,30474,2020-01-06 3:56:33,1,Refunded
438,31350,2020-01-06 5:53:08,1,Refunded
439,31474,2020-01-08 8:30:44,1,Rejected
440,31592,2020-01-12 10:38:10,1,Replaced
441,31408,2020-01-14 12:23:44,1,Replaced
442,31471,2020-01-18 2:32:41,1,Refunded
443,30737,2020-01-18 8:32:33,1,Refunded
444,31706,2020-01-18 17:11:48,1,Refunded
445,31926,2020-01-22 1:24:00,1,Refunded
446,31980,2020-01-22 4:30:29,1,Refunded
447,32152,2020-01-23 0:40:04,1,Refunded
448,31796,2020-01-23 2:30:02,1,Refunded
449,32179,2020-01-23 9:35:00,1,Replaced
450,32041,2020-01-25 23:11:22,1,Refunded
451,31538,2020-01-29 8:12:49,1,Replaced
452,32325,2020-01-29 18:02:01,1,Approved
453,32332,2020-01-31 8:01:28,1,Refunded
454,32711,2020-02-04 14:46:38,1,Refunded
455,32594,2020-02-06 8:49:34,1,Refunded
456,32545,2020-02-09 7:32:20,1,Refunded
457,32114,2020-02-09 14:36:46,1,Approved
458,32812,2020-02-09 19:22:29,1,Refunded
459,32694,2020-02-11 4:48:53,1,Refunded
460,32976,2020-02-11 20:56:55,2,Refunded
461,32873,2020-02-14 9:27:39,1,Rejected
462,31924,2020-02-15 2:09:03,1,Refunded
463,32900,2020-02-15 5:35:52,1,Refunded
464,32937,2020-02-17 2:32:52,1,Approved
465,32736,2020-02-22 4:18:15,1,Refunded
466,33417,2020-02-22 16:05:25,1,Refunded
467,33055,2020-02-22 20:11:48,1,Refunded
468,33432,2020-02-22 23:18:20,1,Refunded
469,33008,2020-02-24 7:33:22,1,Refunded
470,33486,2020-02-26 7:14:48,3,Refunded
471,33422,2020-02-26 14:40:07,1,Refunded
472,33628,2020-02-29 12:43:11,1,Replaced
473,33733,2020-03-04 0:54:49,1,Refunded
474,33451,2020-03-05 8:19:27,1,Refunded
475,33623,2020-03-07 9:18:17,1,Refunded
476,33866,2020-03-07 15:27:27,1,Refunded
477,33909,2020-03-09 7:48:06,1,Refunded
478,33944,2020-03-11 18:34:44,1,Refunded
479,34472,2020-03-17 5:17:48,1,Refunded
480,34388,2020-03-19 1:49:39,1,Replaced
481,34601,2020-03-19 9:39:36,1,Refunded
482,34139,2020-03-20 22:59:20,1,Refunded
483,33618,2020-03-21 2:09:43,1,Refunded
484,34517,2020-03-21 8:04:08,1,Refunded
485,34600,2020-03-25 10:06:36,1,Replaced
486,34837,2020-03-25 12:39:26,1,Refunded
487,34901,2020-03-26 14:08:24,1,Approved
488,34300,2020-03-27 7:47:19,1,Rejected
489,35014,2020-03-27 8:01:16,1,Replaced
490,34749,2020-03-28 13:39:38,1,Refunded
491,35171,2020-03-31 0:55:50,1,Rejected
492,35232,2020-03-31 17:44:22,1,Refunded
493,34454,2020-04-02 14:40:10,1,Refunded
494,35242,2020-04-03 23:33:30,3,Refunded
495,35632,2020-04-10 19:00:28,1,Refunded
496,34391,2020-04-12 5:40:47,1,Replaced
497,35854,2020-04-14 13:20:55,1,Replaced
498,35345,2020-04-14 13:54:04,1,Rejected
499,35818,2020-04-16 14:07:20,1,Refunded
500,35546,2020-04-17 16:11:23,1,Refunded
501,34035,2020-04-19 17:46:33,1,Refunded
502,36076,2020-04-20 20:26:52,1,Requested
503,35319,2020-04-21 16:08:07,1,Replaced
504,35220,2020-04-24 17:49:20,1,Refunded
505,35941,2020-04-26 16:10:07,1,Refunded
506,35405,2020-04-27 6:43:15,1,Refunded
507,36454,2020-04-28 18:40:25,2,Refunded
508,36369,2020-04-28 19:00:05,1,Refunded
509,36265,2020-04-28 21:33:32,1,Refunded
510,36531,2020-04-29 3:28:23,1,Refunded
511,35986,2020-04-29 12:06:49,1,Refunded
512,36555,2020-05-04 6:29:29,1,Refunded
513,36607,2020-05-05 21:41:03,1,Refunded
514,36481,2020-05-06 23:29:26,1,Refunded
515,36516,2020-05-08 23:37:30,1,Refunded
516,36887,2020-05-09 7:11:40,1,Approved
517,35749,2020-05-10 5:11:29,1,Refunded
518,36880,2020-05-11 19:33:49,1,Refunded
519,35790,2020-05-12 22:16:44,1,Requested
520,37005,2020-05-13 5:04:13,1,Approved
521,36963,2020-05-14 4:02:00,1,Rejected
522,36714,2020-05-16 11:08:04,1,Refunded
523,36839,2020-05-18 3:21:28,1,Refunded
524,37086,2020-05-20 4:58:02,1,Rejected
525,37201,2020-05-20 14:14:26,1,Approved
526,37044,2020-05-24 19:29:58,1,Refunded
527,37626,2020-05-27 10:44:11,1,Replaced
528,37489,2020-05-28 1:19:22,1,Replaced
529,37554,2020-05-30 5:53:23,1,Requested
530,37712,2020-05-30 22:04:10,1,Refunded
531,37697,2020-05-30 23:17:31,2,Refunded
532,37573,2020-05-31 10:08:15,1,Refunded
533,37724,2020-05-31 21:28:26,1,Rejected
534,38069,2020-06-07 5:21:09,1,Approved
535,38062,2020-06-07 5:31:08,2,Rejected
536,37652,2020-06-07 10:36:44,1,Approved
537,38247,2020-06-09 0:49:22,1,Replaced
538,38254,2020-06-10 1:25:00,1,Rejected
539,37830,2020-06-10 7:38:22,1,Rejected
540,38268,2020-06-10 23:01:32,1,Replaced
541,38482,2020-06-12 5:25:19,1,Refunded
542,38473,2020-06-13 0:38:40,2,Refunded
543,37927,2020-06-13 5:37:06,1,Replaced
544,38379,2020-06-16 12:47:13,1,Refunded
545,37368,2020-06-17 4:26:13,1,Approved
546,38605,2020-06-18 10:18:10,1,Rejected
547,38196,2020-06-18 18:31:41,1,Refunded
548,36572,2020-06-19 3:59:14,1,Refunded
549,38520,2020-06-19 7:22:56,1,Refunded
550,38769,2020-06-19 18:27:35,1,Requested
551,38648,2020-06-19 23:43:57,1,Replaced
552,38215,2020-06-25 22:11:55,1,Refunded
553,38655,2020-06-26 6:19:39,1,Replaced
554,38040,2020-06-27 1:14:08,1,Refunded
555,38899,2020-06-28 1:25:27,2,Refunded
556,35680,2020-06-30 10:08:08,1,Refunded
557,38851,2020-07-02 12:16:49,1,Replaced
558,39246,2020-07-03 21:28:25,1,Rejected
559,39515,2020-07-04 7:35:47,1,Refunded
560,39426,2020-07-04 22:15:24,1,Refunded
