product_id,product_name,supplier_id,brand,category
96,Xiaomi Pad 7 Ultra,32,Xiaomi,Tablets
97,Xiaomi Pad 7 Pro,32,Xiaomi,Tablets
98,Redmi Pad 2,32,Xiaomi,Tablets
99,Tab Plus,26,Lenovo,Tablets
100,Yoga Tab Plus,26,Lenovo,Tablets
101,Legion Tab,26,Lenovo,Tablets
102,OnePlus Pad 3,33,OnePlus,Tablets
103,OnePlus Pad Lite,33,OnePlus,Tablets
104,Pixel Tablet,1,Google,Tablets
105,MatePad Pro,6,Huawei,Tablets
106,Neo QLED QN90F,24,Samsung,Televisions
107,OLED S95F,24,Samsung,Televisions
108,QLED Q8F,24,Samsung,Televisions
109,Crystal UHD DU8000,24,Samsung,Televisions
110,The Frame,24,Samsung,Televisions
111,OLED evo C5,23,LG,Televisions
112,OLED evo G5,23,LG,Televisions
113,QNED86,23,LG,Televisions
114,UHD UT80,23,LG,Televisions
115,BRAVIA 9,25,Sony,Televisions
116,BRAVIA 8 II,25,Sony,Televisions
117,BRAVIA 7,25,Sony,Televisions
118,X82L,25,Sony,Televisions
119,X Pro QLED,32,Xiaomi,Televisions
120,A Pro 4K,32,Xiaomi,Televisions
121,C8K Mini LED,7,TCL,Televisions
122,P8K QLED,7,TCL,Televisions
123,U7 Series,8,Hisense,Televisions
124,C350 Series,9,Toshiba,Televisions
125,I Pro Series,30,Acer,Televisions
126,AirPods 4,40,Apple,Audio Devices
127,AirPods Pro 3,40,Apple,Audio Devices
128,HomePod mini,40,Apple,Audio Devices
129,Galaxy Buds3,24,Samsung,Audio Devices
130,Galaxy Buds3 Pro,24,Samsung,Audio Devices
131,HW-Q800F Soundbar,24,Samsung,Audio Devices
132,WF-1000XM6,25,Sony,Audio Devices
133,WH-1000XM6,25,Sony,Audio Devices
134,ULT Wear,25,Sony,Audio Devices
135,SRS-XB100,25,Sony,Audio Devices
136,HT-S40R Soundbar,25,Sony,Audio Devices
137,Tune Beam 2,10,JBL,Audio Devices
138,Live 770NC,10,JBL,Audio Devices
139,Flip 7,10,JBL,Audio Devices
140,Charge 6,10,JBL,Audio Devices
141,Bar 500 Soundbar,10,JBL,Audio Devices
142,QuietComfort Ultra Earbuds,11,Bose,Audio Devices
143,QuietComfort Ultra Headphones,11,Bose,Audio Devices
144,Smart Soundbar,11,Bose,Audio Devices
145,Momentum True Wireless 4,12,Sennheiser,Audio Devices
146,Accentum Wireless,12,Sennheiser,Audio Devices
147,Airdopes 311 Pro,13,Boat,Audio Devices
148,Airdopes Alpha,13,Boat,Audio Devices
149,Rockerz 551 ANC,13,Boat,Audio Devices
150,Stone 358 Pro,13,Boat,Audio Devices
151,Nirvana Ion,13,Boat,Audio Devices
152,Buds Air 7 Pro,34,Realme,Audio Devices
153,Buds Wireless 5 ANC,34,Realme,Audio Devices
154,Ear,35,Nothing,Audio Devices
155,CMF Buds Pro 2,35,Nothing,Audio Devices
156,Redmi Buds 6 Pro,32,Xiaomi,Audio Devices
157,Sound Outdoor Speaker,32,Xiaomi,Audio Devices
158,Emberton III,14,Marshall,Audio Devices
159,Major V,14,Marshall,Audio Devices
160,Beoplay HX,17,Bang & Olufsen,Audio Devices
161,Apple Watch Series 11,40,Apple,Smart Watches
162,Apple Watch Ultra 3,40,Apple,Smart Watches
163,Apple Watch SE,40,Apple,Smart Watches
164,Apple Watch Hermès,40,Apple,Smart Watches
165,Galaxy Watch8,24,Samsung,Smart Watches
166,Galaxy Watch8 Classic,24,Samsung,Smart Watches
167,Galaxy Watch Ultra,24,Samsung,Smart Watches
168,Galaxy Fit4 Pro,24,Samsung,Smart Watches
169,Fenix 8,18,Garmin,Smart Watches
170,Forerunner 970,18,Garmin,Smart Watches
171,Venu 3,18,Garmin,Smart Watches
172,Balance 2,19,Amazfit,Smart Watches
173,Active 2,19,Amazfit,Smart Watches
174,T-Rex 3,19,Amazfit,Smart Watches
175,Watch 3,33,OnePlus,Smart Watches
176,Watch 3R,33,OnePlus,Smart Watches
177,Watch S4,32,Xiaomi,Smart Watches
178,Redmi Watch 5,32,Xiaomi,Smart Watches
179,ColorFit Pro 6,20,Noise,Smart Watches
180,Luna Ring,20,Noise,Smart Watches
181,Ultima Prime,13,Boat,Smart Watches
182,Storm Infinity,13,Boat,Smart Watches
183,Watch GT 6,6,Huawei,Smart Watches
184,Watch Fit 4 Pro,6,Huawei,Smart Watches
185,Pixel Watch 4,1,Google,Smart Watches
186,Dual Inverter Split AC,23,LG,Home Appliances
187,Frost Free Refrigerator,23,LG,Home Appliances
188,Front Load Washing Machine,23,LG,Home Appliances
189,Top Load Washing Machine,23,LG,Home Appliances
190,CordZero Vacuum Cleaner,23,LG,Home Appliances
191,WindFree Split AC,24,Samsung,Home Appliances
192,Bespoke Refrigerator,24,Samsung,Home Appliances
193,Front Load Washing Machine,24,Samsung,Home Appliances
194,Top Load Washing Machine,24,Samsung,Home Appliances
195,Frost Free Refrigerator,21,Whirlpool,Home Appliances
196,Top Load Washing Machine,21,Whirlpool,Home Appliances
197,Double Door Refrigerator,21,Whirlpool,Home Appliances
198,Inverter Split AC,36,Haier,Home Appliances
199,Frost Free Refrigerator,36,Haier,Home Appliances
200,Front Load Washing Machine,36,Haier,Home Appliances
201,Double Door Refrigerator,22,Godrej,Home Appliances
202,Top Load Washing Machine,22,Godrej,Home Appliances
203,Inverter Split AC,37,Voltas,Home Appliances
204,Window AC,37,Voltas,Home Appliances
205,Inverter Split AC,15,Daikin,Home Appliances
206,Premium Split AC,15,Daikin,Home Appliances
207,Inverter Split AC,38,Blue Star,Home Appliances
208,Window AC,38,Blue Star,Home Appliances
209,V15 Detect Vacuum Cleaner,16,Dyson,Home Appliances
210,Air Purifier 3000 Series,6,Philips,Home Appliances
211,Airfryer 5000 Series,6,Philips,Kitchen Appliances
212,Mixer Grinder 750W,6,Philips,Kitchen Appliances
213,Juicer,6,Philips,Kitchen Appliances
214,Induction Cooktop,1,Prestige,Kitchen Appliances
215,Electric Kettle,1,Prestige,Kitchen Appliances
216,Rice Cooker,1,Prestige,Kitchen Appliances
217,Convection Microwave Oven,2,IFB,Kitchen Appliances
218,Solo Microwave Oven,2,IFB,Kitchen Appliances
219,Built-in Oven,2,IFB,Kitchen Appliances
220,Mixer Grinder,3,Bajaj,Kitchen Appliances
221,Pop-up Toaster,3,Bajaj,Kitchen Appliances
222,Air Fryer Prolife,4,Havells,Kitchen Appliances
223,Electric Kettle,4,Havells,Kitchen Appliances
224,OTG Oven,5,Morphy Richards,Kitchen Appliances
225,Hand Blender,5,Morphy Richards,Kitchen Appliances
226,Microwave Oven,31,Panasonic,Kitchen Appliances
227,Automatic Bread Maker,31,Panasonic,Kitchen Appliances
228,Built-in Chimney,7,Bosch,Kitchen Appliances
229,Built-in Dishwasher,7,Bosch,Kitchen Appliances
230,Nutri Blend,8,Wonderchef,Kitchen Appliances
231,PlayStation 5 Slim,25,Sony,Gaming
232,PlayStation Portal,25,Sony,Gaming
233,Xbox Series X,39,Microsoft,Gaming
234,Xbox Series S,39,Microsoft,Gaming
235,Nintendo Switch 2,9,Nintendo,Gaming
236,ROG Ally X,27,ASUS,Gaming
237,Legion Go,26,Lenovo,Gaming
238,G Pro X Superlight 2,10,Logitech G,Gaming
239,BlackWidow V4 Pro,11,Razer,Gaming
240,Arctis Nova 7,12,SteelSeries,Gaming
241,MagSafe Charger,40,Apple,Accessories
242,USB-C Power Adapter,40,Apple,Accessories
243,45W Fast Charger,24,Samsung,Accessories
244,SmartTag2,24,Samsung,Accessories
245,MX Master 3S,13,Logitech,Accessories
246,MX Keys S,13,Logitech,Accessories
247,PowerCore 20000 Power Bank,14,Anker,Accessories
248,USB-C Hub,14,Anker,Accessories
249,Extreme Portable SSD,17,SanDisk,Accessories
250,Ultra microSDXC Card,17,SanDisk,Accessories
