order_detail_id,order_id,variant_id,quantity,discount_percentage
110,56,809,2,23.73
111,56,810,2,22.61
112,57,692,1,16.04
113,57,782,1,0.00
114,57,630,1,15.74
115,58,12,1,7.94
116,58,449,1,12.43
117,59,809,1,0.00
118,60,339,1,0.00
119,60,630,1,15.38
120,60,534,1,22.16
121,61,17,1,5.41
122,62,331,1,0.00
123,63,472,2,0.00
124,63,597,2,15.77
125,64,33,2,9.99
126,64,606,1,16.55
127,65,812,1,20.09
128,65,373,1,6.07
129,66,285,1,0.00
130,66,417,2,8.19
131,66,12,2,7.03
132,67,345,1,9.28
133,67,787,1,21.15
134,67,394,1,12.24
135,68,76,1,11.99
136,68,809,3,17.87
137,68,810,1,24.69
138,69,810,1,21.01
139,70,692,1,9.73
140,71,812,2,23.92
141,71,810,1,25.13
142,72,331,1,8.73
143,72,471,1,0.00
144,73,809,1,20.50
145,74,447,1,17.68
146,74,449,1,19.94
147,74,630,2,12.01
148,75,471,1,0.00
149,76,10,1,9.53
150,76,731,1,9.03
151,77,449,1,12.52
152,78,692,1,0.00
153,79,345,1,11.02
154,80,454,1,15.95
155,81,787,1,15.99
156,81,809,1,24.62
157,82,687,1,7.30
158,83,782,1,22.10
159,84,377,1,7.80
160,85,547,1,13.71
161,86,285,1,0.00
162,86,510,1,8.70
163,87,512,1,18.85
164,87,630,1,17.99
165,88,782,1,22.77
166,88,683,1,0.00
167,88,787,1,23.60
168,89,760,1,4.67
169,89,732,3,0.00
170,89,454,2,17.09
171,90,201,1,11.99
172,91,550,2,16.81
173,91,216,1,13.99
174,91,78,2,5.52
175,92,7,1,9.99
176,92,535,1,18.04
177,92,404,1,11.91
178,93,447,1,0.00
179,94,534,1,14.60
180,95,692,1,10.32
181,96,615,1,10.26
182,96,447,1,11.49
183,97,597,1,15.41
184,97,534,3,13.77
185,97,805,3,21.90
186,98,787,2,24.81
187,98,58,1,11.35
188,98,550,2,11.67
189,99,760,1,0.00
190,100,10,1,9.99
191,101,202,1,8.08
192,102,376,1,8.18
193,102,782,1,26.15
194,103,51,1,9.99
195,104,357,1,5.74
196,105,106,1,7.66
197,105,812,1,19.58
198,106,559,1,11.54
199,106,104,1,11.99
200,106,810,1,23.18
201,107,597,1,12.37
202,107,76,1,11.69
203,108,581,1,11.16
204,109,534,1,15.92
205,109,812,1,18.52
206,110,452,1,15.64
207,111,692,2,14.25
208,111,57,1,11.99
209,112,447,1,0.00
210,112,812,1,22.79
211,113,321,1,8.62
212,113,454,1,15.97
213,114,391,1,9.97
214,115,33,1,9.99
215,116,286,1,11.08
216,116,808,2,22.33
217,116,760,1,7.33
218,116,806,2,23.93
219,116,809,2,21.86
220,117,760,1,6.76
221,118,559,1,0.00
222,119,810,3,0.00
223,119,429,1,14.23
224,119,14,1,9.21
225,120,809,1,0.00
226,121,462,1,15.58
227,121,782,1,23.70
228,121,812,1,21.19
229,122,535,1,19.36
230,123,683,1,14.74
231,124,205,1,7.36
232,125,43,1,9.99
233,125,406,2,8.83
234,126,732,1,0.00
235,126,597,1,15.06
236,126,391,3,15.20
237,127,10,1,8.94
238,128,20,1,9.99
239,128,596,3,16.55
240,129,417,1,0.00
241,130,695,1,17.92
242,130,548,2,16.72
243,131,382,1,6.48
244,132,630,1,10.48
245,133,679,1,0.00
246,134,12,1,9.99
247,134,449,3,0.00
248,135,793,1,27.29
249,135,695,2,8.24
250,135,679,1,0.00
251,135,201,1,11.99
252,136,760,1,0.00
253,137,286,1,9.35
254,138,106,1,9.08
255,139,535,1,15.07
256,140,510,1,11.43
257,141,219,2,9.28
258,141,787,2,25.18
259,142,548,1,17.17
260,142,810,1,21.16
261,143,630,3,15.25
262,143,339,1,10.97
263,143,809,2,24.82
264,143,320,4,13.99
265,143,782,2,24.01
266,144,377,1,6.83
267,144,452,1,16.32
268,144,449,1,21.68
269,145,293,1,12.38
270,146,376,1,3.79
271,147,285,1,11.22
272,148,10,1,9.99
273,149,606,1,13.69
274,150,449,2,16.05
275,150,472,2,12.04
276,151,393,1,7.40
277,152,581,1,13.18
278,153,350,1,5.70
279,154,20,1,9.99
280,155,615,1,12.54
281,156,810,2,23.27
282,156,76,1,11.34
283,156,510,1,17.27
284,157,80,3,11.99
285,157,809,2,22.83
286,157,454,1,15.45
287,157,462,4,15.29
288,158,732,1,7.48
289,159,471,1,20.34
290,160,511,2,17.74
291,160,51,1,0.00
292,160,205,2,10.47
293,161,375,1,10.53
294,161,581,1,20.66
295,162,454,1,17.38
296,163,812,1,16.95
297,163,793,4,26.71
298,163,452,1,15.62
299,163,782,1,27.04
300,164,787,1,24.77
301,165,10,1,9.39
302,166,393,1,0.00
303,167,535,1,16.97
304,168,555,1,13.05
305,169,79,1,7.65
306,170,809,1,23.50
307,171,679,1,9.55
308,172,387,1,9.09
309,172,389,2,4.58
310,172,534,1,15.90
311,172,809,3,0.00
312,173,579,1,16.01
313,173,810,1,0.00
314,173,104,1,11.28
315,173,43,2,9.27
316,174,462,1,14.08
317,174,548,1,15.47
318,174,809,2,23.86
319,175,387,1,5.08
320,176,202,1,7.44
321,177,692,1,12.93
322,178,810,1,21.60
323,178,51,2,9.86
324,179,782,1,20.87
325,180,810,1,19.78
326,181,810,1,21.90
327,181,793,1,28.10
328,181,808,1,20.39
329,182,78,1,7.06
330,182,535,1,16.31
331,182,49,1,9.99
332,182,782,2,23.78
333,183,447,1,21.99
334,183,20,1,9.99
335,184,387,1,5.29
336,184,534,1,12.54
337,185,555,1,11.14
338,186,546,1,0.00
339,187,812,1,22.89
340,187,391,1,10.68
341,187,452,1,0.00
342,188,630,1,14.65
343,189,377,3,9.75
344,189,512,1,0.00
345,189,808,2,22.21
346,190,793,1,23.95
347,190,106,1,11.45
348,191,43,1,8.11
349,191,285,1,10.69
350,192,809,1,20.36
351,193,393,1,0.00
352,193,534,1,12.65
353,194,630,1,15.35
354,195,202,1,11.99
355,195,787,1,0.00
356,196,630,1,11.18
357,196,535,1,18.54
358,197,393,1,15.99
359,198,51,1,9.99
360,199,559,1,17.11
361,200,732,1,1.24
362,201,51,1,9.99
363,202,732,1,3.65
364,203,58,1,8.50
365,204,387,1,8.12
366,205,293,1,7.78
367,206,615,1,15.74
368,207,10,1,9.99
369,208,810,1,0.00
370,209,219,1,10.54
371,210,78,2,11.19
372,210,805,2,20.26
373,210,681,1,18.01
374,211,806,1,25.46
375,212,71,1,0.00
376,212,202,2,11.66
377,213,387,1,7.83
378,213,43,2,9.99
379,214,782,1,16.52
380,215,477,2,14.51
381,215,575,3,13.89
382,216,615,1,12.05
383,216,679,5,7.96
384,216,56,3,11.86
385,216,692,1,15.26
386,217,58,1,11.20
387,217,679,1,16.09
388,218,57,1,11.99
389,219,345,1,8.29
390,219,376,2,9.18
391,219,809,2,22.54
392,220,679,1,8.86
393,221,43,1,9.52
394,222,782,1,22.23
395,223,286,1,10.56
396,223,812,1,0.00
397,224,615,1,14.01
398,224,462,1,18.47
399,225,286,1,13.99
400,226,695,1,13.07
401,226,630,1,8.41
402,227,288,1,10.91
403,228,732,1,0.00
404,228,411,1,14.71
405,229,320,1,12.57
406,229,78,1,11.37
407,230,630,1,9.44
408,231,33,1,9.99
409,231,535,1,15.98
410,231,630,1,13.26
411,232,56,1,10.23
412,233,393,1,12.13
413,234,415,2,11.29
414,234,731,2,0.00
415,235,286,1,9.20
416,236,106,1,11.84
417,236,794,1,21.15
418,237,574,1,14.42
419,237,15,1,9.42
420,237,104,3,11.99
421,238,555,1,0.00
422,239,548,1,15.92
423,239,34,1,6.55
424,240,679,1,8.47
425,241,201,1,11.99
426,241,687,1,12.51
427,241,391,2,15.99
428,241,511,1,17.08
429,241,375,5,9.85
430,242,809,1,21.94
431,242,802,1,23.45
432,243,737,1,7.84
433,244,49,1,0.00
434,244,569,1,16.01
435,244,575,4,14.22
436,245,462,1,16.34
437,245,56,1,11.99
438,245,812,1,22.74
439,245,782,3,20.28
440,245,34,2,9.99
441,246,736,2,7.55
442,247,449,1,15.68
443,247,376,1,5.05
444,248,810,1,23.58
445,249,732,1,3.45
446,250,679,1,0.00
447,251,293,1,10.87
448,251,285,2,12.83
449,252,731,1,10.15
450,252,350,1,11.99
451,253,535,1,14.03
452,254,695,1,0.00
453,254,812,1,24.01
454,254,57,2,10.90
455,255,695,1,2.46
456,256,679,3,12.34
457,256,472,1,16.73
458,256,810,1,25.38
459,257,33,1,9.99
460,258,808,1,20.87
461,259,103,1,8.09
462,260,782,1,14.49
463,261,692,1,5.92
464,262,809,1,22.58
465,262,393,1,0.00
466,262,293,2,13.82
467,263,17,1,9.99
468,264,692,1,14.11
469,265,801,2,25.43
470,265,411,1,12.84
471,266,106,2,11.99
472,266,535,3,13.36
473,267,615,1,11.43
474,268,573,1,14.76
475,268,34,1,9.53
476,269,695,1,10.69
477,270,798,1,21.60
478,270,510,1,12.51
479,271,535,1,13.23
480,272,51,1,9.99
481,272,809,2,21.88
482,272,462,1,16.53
483,272,810,3,25.47
484,272,535,2,0.00
485,273,615,1,11.69
486,274,692,1,13.45
487,274,615,1,11.26
488,275,736,1,4.15
489,275,803,1,21.52
490,276,33,1,9.99
491,277,34,1,9.99
492,278,110,1,8.44
493,278,10,1,9.99
494,279,681,1,9.33
495,279,692,1,11.69
496,279,104,1,9.01
497,279,794,3,24.79
498,279,787,3,24.15
499,280,569,1,20.24
500,281,511,1,13.23
501,282,17,2,9.99
502,282,379,2,8.88
503,282,209,2,11.44
504,283,805,1,21.59
505,284,56,1,10.89
506,284,812,1,25.74
507,284,808,1,23.37
508,285,572,1,11.97
509,285,615,2,12.19
510,286,572,2,13.55
511,286,806,4,24.89
512,287,575,1,17.53
513,288,462,1,0.00
514,288,782,2,23.47
515,289,393,1,14.62
516,290,404,1,14.39
517,290,812,1,22.30
518,291,293,1,11.70
519,292,615,1,11.67
520,293,692,1,13.11
521,294,737,1,0.00
522,295,559,1,14.93
523,296,516,1,14.09
524,296,379,3,13.99
525,296,10,1,0.00
526,296,810,1,23.56
527,297,387,1,12.04
528,297,382,2,10.91
529,297,559,2,17.10
530,298,555,1,16.65
531,298,51,1,9.99
532,299,310,1,11.99
533,299,783,1,27.34
534,299,40,1,7.09
535,299,786,2,19.91
536,300,285,1,10.15
537,301,559,1,12.21
538,301,288,1,8.02
539,302,786,1,22.78
540,303,56,1,11.99
541,304,632,1,13.26
542,305,531,2,19.21
543,305,732,1,8.82
544,306,738,1,4.90
545,306,531,1,16.30
546,307,387,1,6.81
547,308,632,2,11.44
548,309,285,1,9.37
549,310,40,1,9.99
550,310,456,2,18.08
551,311,393,1,0.00
552,312,40,1,9.35
553,312,50,1,9.99
554,312,783,2,27.92
555,313,456,1,18.34
556,314,531,1,19.83
557,314,57,1,11.47
558,314,808,1,20.92
559,314,56,1,11.50
560,315,310,1,11.99
561,316,43,1,9.99
562,317,786,1,0.00
563,317,456,1,12.67
564,317,310,3,11.99
565,318,534,1,11.91
566,319,462,1,18.75
567,320,786,1,25.17
568,320,50,1,9.99
569,320,573,1,14.08
570,321,572,1,18.51
571,321,783,4,26.44
572,321,50,1,9.99
573,322,615,1,12.80
574,323,531,1,20.32
575,323,57,1,11.99
576,324,695,1,13.25
577,324,692,1,16.28
578,325,782,1,23.72
579,326,456,1,14.70
580,326,786,1,15.75
581,327,33,1,9.87
582,327,40,2,9.98
583,327,573,1,14.77
584,328,798,1,20.77
585,329,56,1,11.99
586,330,293,1,11.71
587,331,783,1,25.94
588,332,574,1,16.42
589,333,683,1,0.00
590,334,692,1,14.52
591,335,50,1,9.99
592,335,40,1,9.99
593,336,50,1,8.74
594,337,351,1,10.56
595,338,534,1,17.00
596,338,393,1,12.63
597,338,695,2,14.83
598,339,456,1,14.35
599,340,310,1,11.99
600,340,738,1,0.00
601,340,783,2,19.50
602,341,406,1,15.32
603,341,783,1,26.87
604,342,43,1,9.75
605,342,695,1,15.17
606,343,43,1,9.99
607,344,695,1,10.26
608,345,548,1,0.00
609,346,783,1,0.00
610,347,695,2,9.73
611,347,809,1,0.00
612,347,632,1,13.56
613,347,806,3,25.41
614,348,456,1,9.40
615,349,51,2,9.99
616,349,535,1,0.00
617,350,387,1,0.00
618,351,33,1,9.57
619,352,456,1,17.02
620,352,783,1,25.17
621,353,50,1,6.42
622,354,535,1,18.04
623,355,57,1,10.58
624,355,51,2,9.99
625,356,695,1,16.21
626,356,632,3,13.13
627,356,534,3,20.29
628,356,809,1,26.83
629,357,310,1,9.41
630,357,783,3,23.49
631,357,681,1,12.36
632,357,786,1,26.28
633,358,695,1,14.58
634,358,799,1,21.39
635,358,534,1,12.24
636,358,801,1,23.41
637,359,692,1,11.03
638,360,632,1,0.00
639,361,43,1,9.99
640,361,387,1,0.00
641,361,809,3,21.54
642,361,548,1,13.90
643,361,559,2,12.63
644,361,626,9,16.07
645,362,574,1,17.15
646,362,406,4,14.78
647,363,56,1,10.03
648,364,43,1,9.99
649,365,33,1,9.99
650,365,456,1,16.40
651,366,534,1,0.00
652,366,692,1,9.18
653,367,456,1,21.99
654,367,632,1,13.01
655,368,732,1,0.00
656,369,33,1,9.99
657,370,632,1,14.43
658,370,695,2,19.34
659,371,40,1,9.75
660,372,51,1,9.99
661,372,812,2,23.55
662,372,632,2,15.01
663,372,695,3,10.69
664,372,387,2,8.52
665,372,534,2,19.72
666,373,33,1,9.99
667,373,783,2,24.86
668,373,456,2,14.66
669,373,786,2,22.99
670,373,809,2,23.43
671,374,574,1,0.00
672,375,456,1,16.37
673,376,310,1,11.75
674,376,33,3,9.99
675,377,535,1,0.00
676,378,632,1,7.56
677,379,293,1,0.00
678,380,57,1,10.17
679,381,288,1,9.59
680,382,33,1,8.02
681,383,387,1,9.13
682,383,812,1,0.00
683,384,393,1,13.65
684,385,310,1,11.99
685,386,809,2,0.00
686,386,34,1,9.99
687,387,783,1,19.97
688,388,786,1,0.00
689,388,626,2,17.99
690,389,531,1,23.99
691,389,387,1,13.17
692,390,33,1,9.99
693,391,574,1,12.07
694,392,50,1,9.99
695,392,456,1,12.91
696,393,695,1,15.73
697,394,34,1,8.13
698,395,456,1,0.00
699,396,531,1,17.20
700,396,736,1,6.45
701,396,393,2,15.99
702,397,535,1,12.78
703,398,288,1,10.15
704,399,738,1,0.00
705,400,535,1,19.67
706,400,58,1,11.99
707,401,456,1,15.94
708,402,285,1,11.56
709,403,798,1,21.07
710,404,310,1,11.00
711,404,786,1,0.00
712,405,731,3,6.00
713,405,456,2,18.36
714,406,393,1,0.00
715,406,809,1,26.44
716,406,692,1,14.49
717,406,555,1,16.62
718,407,456,1,13.29
719,408,632,1,14.10
720,409,681,1,0.00
721,409,572,1,13.97
722,410,393,1,13.26
723,411,456,1,17.59
724,411,310,1,11.99
725,411,452,2,16.27
726,412,285,1,8.60
727,413,462,1,18.00
728,414,559,1,19.23
729,414,812,1,21.39
730,415,50,1,9.99
731,416,456,1,19.39
732,416,449,1,15.13
733,417,310,1,11.18
734,418,736,1,9.72
735,419,393,1,10.55
736,420,50,1,9.99
737,421,806,1,20.99
738,422,33,1,9.99
739,422,806,2,25.16
740,422,288,4,13.21
741,423,559,1,10.19
742,423,462,1,13.64
743,423,797,1,26.99
744,424,293,1,7.77
745,425,692,1,0.00
746,425,736,1,7.31
747,426,387,1,11.05
748,426,375,1,10.50
749,427,414,1,12.22
750,427,456,7,18.61
751,428,559,1,13.82
752,429,58,1,10.32
753,430,535,1,17.93
754,431,810,1,23.66
755,432,786,1,25.26
756,433,393,1,15.27
757,433,531,1,19.40
758,434,406,1,16.02
759,434,456,1,20.17
760,435,626,1,14.61
761,435,810,3,21.99
762,435,285,2,10.47
763,436,34,1,9.99
764,437,285,1,13.62
765,438,782,1,20.48
766,439,620,1,16.85
767,439,687,2,0.00
768,440,310,2,11.99
769,440,232,1,0.00
770,440,786,2,24.51
771,440,783,1,23.26
772,441,681,1,10.48
773,441,707,1,14.05
774,441,695,2,0.00
775,442,310,1,7.91
776,443,456,1,18.17
777,444,695,2,15.11
778,444,40,4,0.00
779,444,616,3,13.96
780,445,569,1,19.18
781,446,288,1,13.99
782,447,50,1,9.99
783,448,783,1,18.64
784,449,56,1,10.34
785,450,548,1,18.10
786,451,393,1,0.00
787,451,531,3,18.79
788,451,534,1,12.70
789,452,687,1,16.30
790,452,695,3,7.20
791,453,456,2,18.85
792,453,786,1,23.05
793,453,50,4,9.99
794,454,535,1,19.46
795,455,786,1,22.78
796,456,731,1,7.19
797,457,569,1,12.68
798,458,692,1,12.71
799,459,531,1,13.92
800,459,58,2,11.99
801,459,801,1,19.70
802,459,695,1,11.09
803,460,50,1,9.99
804,461,58,1,11.99
805,462,695,6,13.48
806,462,760,1,0.00
807,463,620,1,7.87
808,464,456,1,15.05
809,464,310,1,11.58
810,465,40,1,9.99
811,466,33,2,9.99
812,466,462,1,0.00
813,467,572,1,9.31
814,468,393,1,9.68
815,468,531,1,10.28
816,469,387,1,0.00
817,470,573,1,13.91
818,471,692,1,6.33
819,471,695,1,14.03
820,471,683,1,11.73
821,471,531,4,15.44
822,471,620,1,0.00
823,471,782,2,23.75
824,472,555,1,11.17
825,473,50,1,9.99
826,473,456,1,16.25
827,473,33,1,9.36
828,474,695,1,11.45
829,475,56,1,11.99
830,475,51,2,9.99
831,476,760,1,5.33
832,476,43,1,9.99
833,477,812,1,21.98
834,477,548,1,13.78
835,478,310,1,8.66
836,478,50,1,0.00
837,479,783,1,0.00
838,480,387,1,8.13
839,481,809,1,24.27
840,481,57,2,3.82
841,482,555,1,15.13
842,482,34,2,9.67
843,482,616,2,12.14
844,483,812,1,23.08
845,483,387,3,10.95
846,483,802,3,25.53
847,484,50,1,9.00
848,485,531,1,13.21
849,486,731,1,11.06
850,487,535,1,14.86
851,487,812,1,25.23
852,487,809,2,23.59
853,488,462,1,14.01
854,489,357,2,0.00
855,490,229,1,11.27
856,490,551,1,12.69
857,490,456,1,18.26
858,491,56,1,11.99
859,491,555,1,13.56
860,492,288,1,0.00
861,492,555,1,19.99
862,492,799,3,25.80
863,493,33,1,9.99
864,493,40,4,0.00
865,493,786,2,17.02
866,494,293,1,9.52
867,494,534,1,10.00
868,495,783,1,20.30
869,496,783,1,21.73
870,497,806,1,20.07
871,498,695,1,8.48
872,499,50,1,9.72
873,500,40,2,9.99
874,500,783,2,22.51
875,500,351,1,6.51
876,501,393,1,13.86
877,501,798,1,28.17
878,502,535,1,0.00
879,502,34,1,9.99
880,503,215,1,7.07
881,504,573,1,18.72
882,504,786,1,0.00
883,505,736,1,5.68
884,506,456,2,17.17
885,507,50,1,9.99
886,507,456,1,0.00
887,508,783,1,22.32
888,509,692,1,8.97
889,509,548,3,17.54
890,510,620,1,15.16
891,510,692,1,12.93
892,510,809,1,26.16
893,511,786,1,25.12
894,512,56,5,9.87
895,512,620,4,14.25
896,512,373,2,8.70
897,513,58,1,7.84
898,514,50,1,9.99
899,515,393,1,14.72
900,515,531,1,0.00
901,516,620,1,0.00
902,517,40,3,9.46
903,517,707,3,8.95
904,517,33,1,9.99
905,517,783,2,24.02
906,518,462,1,21.99
907,519,393,1,10.29
908,519,534,1,19.90
909,519,535,1,12.73
910,520,802,1,24.19
911,521,760,1,1.50
912,522,555,2,12.77
913,522,802,1,24.21
914,522,535,1,16.24
915,522,288,5,2.55
916,522,806,3,23.65
917,523,285,1,7.87
918,523,806,2,20.20
919,524,351,1,0.00
920,525,622,1,9.52
921,526,51,1,0.00
922,527,692,1,11.77
923,527,806,1,23.77
924,528,462,1,18.77
925,529,387,1,0.00
926,530,57,1,0.00
927,531,783,1,21.56
928,532,783,1,21.57
929,533,33,1,9.99
930,533,548,2,12.89
931,534,622,2,11.40
932,534,783,1,26.99
933,535,33,1,9.99
934,535,786,1,22.23
935,536,374,1,12.05
936,536,803,3,30.27
937,537,351,1,5.74
938,538,321,1,9.42
939,539,695,1,10.28
940,540,531,1,17.32
941,540,808,2,0.00
942,541,40,1,9.99
943,542,462,1,14.90
944,542,559,1,17.47
945,543,798,1,22.96
946,543,738,2,5.71
947,544,559,1,12.58
948,545,415,1,9.64
949,545,456,1,17.79
950,546,351,1,8.70
951,547,616,1,14.31
952,548,456,1,17.77
953,548,692,1,19.51
954,549,288,1,8.40
955,550,783,1,23.41
956,551,736,1,2.56
957,552,456,1,0.00
958,552,286,1,0.00
959,553,456,1,12.87
960,553,786,1,26.56
961,553,419,1,11.42
962,553,783,1,26.24
963,553,219,5,0.00
964,554,626,1,11.27
965,555,456,1,16.55
966,556,40,1,9.99
967,556,426,1,13.58
968,557,382,1,0.00
969,558,33,1,9.99
970,559,50,1,0.00
971,560,406,1,10.36
972,560,616,1,11.33
973,560,456,4,14.44
974,561,707,1,9.05
975,562,351,2,8.66
976,562,456,1,14.90
977,563,51,2,9.99
978,563,34,1,9.99
979,564,535,1,11.77
980,565,692,1,5.72
981,565,620,1,12.08
982,566,535,1,17.38
983,567,376,1,10.86
984,568,692,1,0.00
985,568,622,1,11.72
986,568,620,3,15.96
987,569,462,1,17.75
988,570,229,1,10.39
989,570,530,1,0.00
990,571,548,2,14.15
991,571,462,1,17.90
992,572,533,1,14.36
993,572,532,1,17.22
994,573,559,1,12.15
995,574,534,1,14.13
996,575,801,1,25.70
997,576,286,1,13.99
998,577,574,1,11.76
999,577,803,1,21.66
1000,578,50,1,9.99
1001,579,693,1,12.87
1002,580,555,1,0.00
1003,581,804,1,25.12
1004,581,50,1,9.99
1005,582,462,2,14.96
1006,582,809,1,28.63
1007,582,286,3,10.43
1008,583,803,2,27.63
1009,583,420,1,11.15
1010,583,532,2,18.57
1011,583,800,1,28.72
1012,584,812,3,26.42
1013,584,33,1,9.99
1014,584,58,3,11.99
1015,584,374,1,0.00
1016,585,40,1,7.94
1017,586,534,3,23.33
1018,586,731,2,4.33
1019,586,56,3,11.99
1020,587,620,1,14.10
1021,587,800,1,27.72
1022,588,548,1,14.76
1023,589,389,1,4.30
1024,590,692,1,17.04
1025,591,414,1,0.00
1026,591,429,2,15.99
1027,592,58,1,10.12
1028,593,692,2,0.00
1029,593,809,1,29.31
1030,593,555,7,17.02
1031,594,40,1,9.99
1032,595,797,1,22.71
1033,595,783,1,29.99
1034,595,620,4,0.00
1035,596,210,1,11.33
1036,597,532,1,11.45
1037,598,622,1,18.05
1038,598,34,2,9.99
1039,598,736,1,7.06
1040,598,33,3,9.99
1041,598,633,1,16.95
1042,599,812,1,25.57
1043,599,683,1,16.00
1044,599,806,1,25.48
1045,599,810,1,26.07
1046,600,40,1,9.99
1047,600,799,1,24.15
1048,600,764,2,12.19
1049,600,50,1,9.99
1050,600,533,2,0.00
1051,601,572,1,18.98
1052,602,687,1,16.01
1053,603,530,1,18.12
1054,603,804,1,28.36
1055,603,50,1,9.99
1056,604,380,1,13.07
1057,604,534,3,21.05
1058,605,559,1,19.99
1059,605,57,1,11.99
1060,605,51,1,9.99
1061,606,548,2,15.75
1062,606,805,1,27.05
1063,607,429,1,12.78
1064,607,783,2,19.05
1065,607,804,1,28.48
1066,608,626,2,16.80
1067,608,56,1,9.18
1068,608,693,1,14.52
1069,609,230,1,13.99
1070,609,456,1,17.97
1071,610,803,1,23.81
1072,611,622,1,15.80
1073,611,633,1,15.08
1074,612,350,1,11.99
1075,612,555,1,14.56
1076,613,33,1,9.99
1077,613,797,1,17.80
1078,614,40,1,9.99
1079,615,616,1,17.03
1080,615,693,2,17.05
1081,616,633,1,10.75
1082,617,812,1,23.55
1083,617,56,1,11.99
1084,617,531,1,19.34
1085,618,393,1,9.82
1086,619,288,1,11.60
1087,620,417,1,16.55
1088,621,40,2,9.99
1089,622,683,1,11.22
1090,622,798,1,23.37
1091,623,632,3,14.97
1092,623,693,1,23.66
1093,623,285,2,13.11
1094,624,799,1,23.74
1095,625,534,1,18.96
1096,626,396,1,14.83
1097,626,535,3,19.13
1098,627,40,1,9.99
1099,627,799,1,23.06
1100,628,456,2,16.46
1101,628,530,1,18.33
1102,628,33,1,9.99
1103,629,34,1,9.99
1104,629,805,1,28.80
1105,630,630,1,16.22
1106,631,456,1,0.00
1107,632,736,1,5.63
1108,633,532,1,0.00
1109,634,630,1,0.00
1110,634,533,1,10.22
1111,635,804,1,23.64
1112,636,462,1,15.15
1113,637,737,3,8.15
1114,637,809,1,20.87
1115,637,810,2,26.28
1116,637,34,2,9.99
1117,638,572,1,20.70
1118,638,786,1,22.78
1119,639,462,1,19.39
1120,639,534,1,19.57
1121,639,380,1,10.70
1122,640,33,1,9.99
1123,640,803,1,27.80
1124,640,551,1,18.19
1125,641,801,1,25.70
1126,642,693,2,15.27
1127,642,633,1,17.26
1128,643,33,1,9.99
1129,643,786,1,22.64
1130,643,533,2,18.28
1131,644,57,1,11.99
1132,645,687,1,0.00
1133,646,738,1,5.34
1134,646,783,1,23.38
1135,647,797,1,0.00
1136,648,204,1,0.00
1137,648,804,1,23.29
1138,649,683,1,11.02
1139,650,57,1,10.52
1140,651,288,1,13.99
1141,651,683,2,11.54
1142,652,632,2,14.47
1143,652,797,1,24.35
1144,653,40,1,9.99
1145,653,797,1,27.61
1146,654,616,1,17.89
1147,654,812,1,26.87
1148,654,57,4,11.99
1149,655,797,1,24.27
