inventory_id,location_type,store_id,warehouse_id,variant_id,quantity
98,Warehouse,null,1,104,4
99,Warehouse,null,1,105,3
100,Warehouse,null,1,106,4
101,Warehouse,null,1,107,4
102,Warehouse,null,1,108,3
103,Warehouse,null,1,109,3
104,Warehouse,null,1,110,4
105,Warehouse,null,1,111,3
106,Warehouse,null,1,112,3
107,Warehouse,null,1,113,3
108,Warehouse,null,1,114,3
109,Warehouse,null,1,115,3
110,Warehouse,null,1,116,3
111,Warehouse,null,1,117,3
112,Warehouse,null,1,118,3
113,Warehouse,null,1,119,3
114,Warehouse,null,1,121,4
115,Warehouse,null,1,122,3
116,Warehouse,null,1,123,3
117,Warehouse,null,1,124,3
118,Warehouse,null,1,125,3
119,Warehouse,null,1,126,3
120,Warehouse,null,1,127,3
121,Warehouse,null,1,128,3
122,Warehouse,null,1,129,3
123,Warehouse,null,1,130,3
124,Warehouse,null,1,131,3
125,Warehouse,null,1,132,3
126,Warehouse,null,1,133,3
127,Warehouse,null,1,134,3
128,Warehouse,null,1,135,3
129,Warehouse,null,1,136,3
130,Warehouse,null,1,137,3
131,Warehouse,null,1,139,3
132,Warehouse,null,1,140,3
133,Warehouse,null,1,141,3
134,Warehouse,null,1,142,3
135,Warehouse,null,1,143,3
136,Warehouse,null,1,144,3
137,Warehouse,null,1,145,3
138,Warehouse,null,1,146,3
139,Warehouse,null,1,148,3
140,Warehouse,null,1,149,3
141,Warehouse,null,1,150,3
142,Warehouse,null,1,152,3
143,Warehouse,null,1,153,3
144,Warehouse,null,1,154,3
145,Warehouse,null,1,155,3
146,Warehouse,null,1,156,3
147,Warehouse,null,1,157,3
148,Warehouse,null,1,158,3
149,Warehouse,null,1,161,3
150,Warehouse,null,1,162,3
151,Warehouse,null,1,163,3
152,Warehouse,null,1,164,4
153,Warehouse,null,1,165,3
154,Warehouse,null,1,166,3
155,Warehouse,null,1,167,3
156,Warehouse,null,1,168,4
157,Warehouse,null,1,169,3
158,Warehouse,null,1,170,3
159,Warehouse,null,1,172,3
160,Warehouse,null,1,173,3
161,Warehouse,null,1,174,3
162,Warehouse,null,1,175,3
163,Warehouse,null,1,176,3
164,Warehouse,null,1,177,3
165,Warehouse,null,1,178,3
166,Warehouse,null,1,179,3
167,Warehouse,null,1,180,3
168,Warehouse,null,1,181,3
169,Warehouse,null,1,182,3
170,Warehouse,null,1,183,3
171,Warehouse,null,1,184,3
172,Warehouse,null,1,185,3
173,Warehouse,null,1,186,3
174,Warehouse,null,1,187,3
175,Warehouse,null,1,188,3
176,Warehouse,null,1,189,3
177,Warehouse,null,1,190,3
178,Warehouse,null,1,191,3
179,Warehouse,null,1,192,3
180,Warehouse,null,1,193,3
181,Warehouse,null,1,194,3
182,Warehouse,null,1,195,3
183,Warehouse,null,1,196,3
184,Warehouse,null,1,197,3
185,Warehouse,null,1,198,3
186,Warehouse,null,1,199,3
187,Warehouse,null,1,200,3
188,Warehouse,null,1,201,3
189,Warehouse,null,1,202,3
190,Warehouse,null,1,203,3
191,Warehouse,null,1,204,3
192,Warehouse,null,1,205,3
193,Warehouse,null,1,206,3
194,Warehouse,null,1,207,3
195,Warehouse,null,1,208,4
196,Warehouse,null,1,209,3
197,Warehouse,null,1,210,3
198,Warehouse,null,1,211,3
199,Warehouse,null,1,212,3
200,Warehouse,null,1,213,3
201,Warehouse,null,1,214,3
202,Warehouse,null,1,215,3
203,Warehouse,null,1,216,3
204,Warehouse,null,1,217,3
205,Warehouse,null,1,219,3
206,Warehouse,null,1,220,3
207,Warehouse,null,1,221,3
208,Warehouse,null,1,222,4
209,Warehouse,null,1,223,3
210,Warehouse,null,1,224,3
211,Warehouse,null,1,227,3
212,Warehouse,null,1,229,4
213,Warehouse,null,1,230,3
214,Warehouse,null,1,231,3
215,Warehouse,null,1,232,4
216,Warehouse,null,1,233,3
217,Warehouse,null,1,234,3
218,Warehouse,null,1,235,3
219,Warehouse,null,1,236,3
220,Warehouse,null,1,237,3
221,Warehouse,null,1,238,3
222,Warehouse,null,1,239,3
223,Warehouse,null,1,240,3
224,Warehouse,null,1,241,3
225,Warehouse,null,1,242,3
226,Warehouse,null,1,243,3
227,Warehouse,null,1,244,3
228,Warehouse,null,1,245,3
229,Warehouse,null,1,246,3
230,Warehouse,null,1,247,3
231,Warehouse,null,1,248,3
232,Warehouse,null,1,249,3
233,Warehouse,null,1,250,3
234,Warehouse,null,1,251,3
235,Warehouse,null,1,252,3
236,Warehouse,null,1,253,4
237,Warehouse,null,1,254,4
238,Warehouse,null,1,255,3
239,Warehouse,null,1,256,3
240,Warehouse,null,1,257,3
241,Warehouse,null,1,258,4
242,Warehouse,null,1,259,3
243,Warehouse,null,1,260,3
244,Warehouse,null,1,261,3
245,Warehouse,null,1,262,3
246,Warehouse,null,1,263,4
247,Warehouse,null,1,264,3
248,Warehouse,null,1,265,3
249,Warehouse,null,1,266,3
250,Warehouse,null,1,267,3
251,Warehouse,null,1,268,3
252,Warehouse,null,1,269,4
253,Warehouse,null,1,270,3
254,Warehouse,null,1,271,4
255,Warehouse,null,1,272,4
256,Warehouse,null,1,273,3
257,Warehouse,null,1,274,3
258,Warehouse,null,1,275,4
259,Warehouse,null,1,276,4
260,Warehouse,null,1,277,3
261,Warehouse,null,1,278,3
262,Warehouse,null,1,279,3
263,Warehouse,null,1,280,4
264,Warehouse,null,1,281,6
265,Warehouse,null,1,282,3
266,Warehouse,null,1,283,4
267,Warehouse,null,1,284,3
268,Warehouse,null,1,285,4
269,Warehouse,null,1,286,4
270,Warehouse,null,1,287,3
271,Warehouse,null,1,288,3
272,Warehouse,null,1,289,3
273,Warehouse,null,1,290,3
274,Warehouse,null,1,291,3
275,Warehouse,null,1,292,3
276,Warehouse,null,1,293,4
277,Warehouse,null,1,294,3
278,Warehouse,null,1,295,3
279,Warehouse,null,1,296,3
280,Warehouse,null,1,297,3
281,Warehouse,null,1,298,3
282,Warehouse,null,1,299,4
283,Warehouse,null,1,300,3
284,Warehouse,null,1,301,3
285,Warehouse,null,1,302,3
286,Warehouse,null,1,303,3
287,Warehouse,null,1,304,3
288,Warehouse,null,1,305,7
289,Warehouse,null,1,306,3
290,Warehouse,null,1,308,3
291,Warehouse,null,1,309,4
292,Warehouse,null,1,310,3
293,Warehouse,null,1,311,3
294,Warehouse,null,1,312,3
295,Warehouse,null,1,313,3
296,Warehouse,null,1,314,3
297,Warehouse,null,1,315,3
298,Warehouse,null,1,316,3
299,Warehouse,null,1,317,3
300,Warehouse,null,1,318,3
301,Warehouse,null,1,319,3
302,Warehouse,null,1,321,3
303,Warehouse,null,1,322,3
304,Warehouse,null,1,323,4
305,Warehouse,null,1,324,4
306,Warehouse,null,1,325,3
307,Warehouse,null,1,326,3
308,Warehouse,null,1,327,3
309,Warehouse,null,1,328,3
310,Warehouse,null,1,329,3
311,Warehouse,null,1,330,3
312,Warehouse,null,1,331,3
313,Warehouse,null,1,332,3
314,Warehouse,null,1,333,3
315,Warehouse,null,1,334,3
316,Warehouse,null,1,335,4
317,Warehouse,null,1,336,4
318,Warehouse,null,1,337,3
319,Warehouse,null,1,338,4
320,Warehouse,null,1,339,3
321,Warehouse,null,1,340,3
322,Warehouse,null,1,341,3
323,Warehouse,null,1,342,4
324,Warehouse,null,1,343,3
325,Warehouse,null,1,344,3
326,Warehouse,null,1,345,3
327,Warehouse,null,1,346,3
328,Warehouse,null,1,347,3
329,Warehouse,null,1,348,3
330,Warehouse,null,1,349,3
331,Warehouse,null,1,350,3
332,Warehouse,null,1,351,3
333,Warehouse,null,1,352,3
334,Warehouse,null,1,354,3
335,Warehouse,null,1,355,3
336,Warehouse,null,1,356,4
337,Warehouse,null,1,357,3
338,Warehouse,null,1,359,3
339,Warehouse,null,1,360,3
340,Warehouse,null,1,361,4
341,Warehouse,null,1,362,3
342,Warehouse,null,1,363,3
343,Warehouse,null,1,364,3
344,Warehouse,null,1,365,4
345,Warehouse,null,1,366,3
346,Warehouse,null,1,367,3
347,Warehouse,null,1,368,3
348,Warehouse,null,1,369,3
349,Warehouse,null,1,370,3
350,Warehouse,null,1,371,4
351,Warehouse,null,1,373,3
352,Warehouse,null,1,374,4
353,Warehouse,null,1,378,3
354,Warehouse,null,1,379,3
355,Warehouse,null,1,380,3
356,Warehouse,null,1,381,4
357,Warehouse,null,1,383,3
358,Warehouse,null,1,384,3
359,Warehouse,null,1,385,4
360,Warehouse,null,1,386,3
361,Warehouse,null,1,387,3
362,Warehouse,null,1,388,3
363,Warehouse,null,1,389,3
364,Warehouse,null,1,390,3
365,Warehouse,null,1,391,3
366,Warehouse,null,1,392,3
367,Warehouse,null,1,393,3
368,Warehouse,null,1,394,3
369,Warehouse,null,1,395,3
370,Warehouse,null,1,396,4
371,Warehouse,null,1,397,3
372,Warehouse,null,1,398,3
373,Warehouse,null,1,399,3
374,Warehouse,null,1,400,4
375,Warehouse,null,1,401,3
376,Warehouse,null,1,402,5
377,Warehouse,null,1,404,3
378,Warehouse,null,1,405,3
379,Warehouse,null,1,406,3
380,Warehouse,null,1,407,3
381,Warehouse,null,1,408,3
382,Warehouse,null,1,409,3
383,Warehouse,null,1,410,3
384,Warehouse,null,1,411,3
385,Warehouse,null,1,412,3
386,Warehouse,null,1,413,3
387,Warehouse,null,1,414,3
388,Warehouse,null,1,415,3
389,Warehouse,null,1,416,3
390,Warehouse,null,1,417,3
391,Warehouse,null,1,418,3
392,Warehouse,null,1,419,3
393,Warehouse,null,1,420,3
394,Warehouse,null,1,421,3
395,Warehouse,null,1,422,3
396,Warehouse,null,1,423,3
397,Warehouse,null,1,424,3
398,Warehouse,null,1,425,3
399,Warehouse,null,1,426,3
400,Warehouse,null,1,427,3
401,Warehouse,null,1,428,3
402,Warehouse,null,1,429,3
403,Warehouse,null,1,430,3
404,Warehouse,null,1,431,3
405,Warehouse,null,1,432,3
406,Warehouse,null,1,433,3
407,Warehouse,null,1,434,3
408,Warehouse,null,1,435,3
409,Warehouse,null,1,436,3
410,Warehouse,null,1,437,3
411,Warehouse,null,1,438,3
412,Warehouse,null,1,439,3
413,Warehouse,null,1,440,3
414,Warehouse,null,1,441,3
415,Warehouse,null,1,442,3
416,Warehouse,null,1,443,3
417,Warehouse,null,1,444,3
418,Warehouse,null,1,445,3
419,Warehouse,null,1,446,6
420,Store,16,null,447,1
421,Warehouse,null,1,447,5
422,Warehouse,null,1,448,6
423,Store,11,null,449,1
424,Warehouse,null,1,449,5
425,Warehouse,null,1,450,6
426,Warehouse,null,1,451,6
427,Warehouse,null,1,452,6
428,Warehouse,null,1,453,6
429,Store,8,null,454,1
430,Warehouse,null,1,454,5
431,Warehouse,null,1,455,7
432,Warehouse,null,1,456,6
433,Store,11,null,457,1
434,Warehouse,null,1,457,5
435,Warehouse,null,1,458,6
436,Warehouse,null,1,459,6
437,Warehouse,null,1,460,7
438,Warehouse,null,1,461,6
439,Store,15,null,462,1
440,Warehouse,null,1,462,5
441,Warehouse,null,1,463,6
442,Store,16,null,464,1
443,Warehouse,null,1,464,5
444,Warehouse,null,1,465,6
445,Store,10,null,466,1
446,Warehouse,null,1,466,5
447,Store,8,null,467,1
448,Warehouse,null,1,467,5
449,Warehouse,null,1,468,6
450,Warehouse,null,1,469,6
451,Warehouse,null,1,470,6
452,Warehouse,null,1,472,6
453,Warehouse,null,1,473,7
454,Warehouse,null,1,474,6
455,Store,17,null,475,1
456,Warehouse,null,1,475,5
457,Warehouse,null,1,476,6
458,Warehouse,null,1,477,6
459,Store,12,null,478,1
460,Warehouse,null,1,478,5
461,Store,15,null,479,1
462,Warehouse,null,1,479,5
463,Warehouse,null,1,480,8
464,Warehouse,null,1,481,6
465,Store,13,null,482,1
466,Warehouse,null,1,482,7
467,Warehouse,null,1,483,8
468,Store,9,null,484,1
469,Warehouse,null,1,484,6
470,Warehouse,null,1,485,7
471,Store,11,null,486,1
472,Warehouse,null,1,486,6
473,Store,7,null,487,1
474,Warehouse,null,1,487,5
475,Store,11,null,488,1
476,Warehouse,null,1,488,6
477,Warehouse,null,1,489,6
478,Warehouse,null,1,490,7
479,Warehouse,null,1,491,6
480,Warehouse,null,1,492,7
481,Warehouse,null,1,493,7
482,Store,19,null,494,1
483,Warehouse,null,1,494,7
484,Warehouse,null,1,495,8
485,Warehouse,null,1,496,8
486,Store,15,null,497,1
487,Warehouse,null,1,497,5
488,Store,8,null,498,1
489,Warehouse,null,1,498,5
490,Store,16,null,499,1
491,Warehouse,null,1,499,7
492,Warehouse,null,1,500,6
493,Warehouse,null,1,501,7
494,Warehouse,null,1,502,7
495,Warehouse,null,1,503,6
496,Warehouse,null,1,504,7
497,Warehouse,null,1,505,7
498,Store,11,null,506,1
499,Warehouse,null,1,506,5
500,Warehouse,null,1,507,7
501,Warehouse,null,1,508,7
502,Warehouse,null,1,509,6
503,Warehouse,null,1,510,6
504,Store,17,null,511,1
505,Warehouse,null,1,511,5
506,Warehouse,null,1,512,6
507,Warehouse,null,1,513,6
508,Warehouse,null,1,514,6
509,Store,11,null,515,1
510,Warehouse,null,1,515,5
511,Warehouse,null,1,516,7
512,Warehouse,null,1,517,6
513,Warehouse,null,1,518,6
514,Store,7,null,519,1
515,Warehouse,null,1,519,5
516,Warehouse,null,1,520,6
517,Store,15,null,521,1
518,Warehouse,null,1,521,5
519,Warehouse,null,1,522,6
520,Store,11,null,523,1
521,Warehouse,null,1,523,5
522,Warehouse,null,1,524,6
523,Warehouse,null,1,525,6
524,Warehouse,null,1,526,6
525,Store,10,null,527,1
526,Warehouse,null,1,527,5
527,Store,14,null,528,1
528,Warehouse,null,1,528,5
529,Warehouse,null,1,530,7
530,Warehouse,null,1,531,8
531,Warehouse,null,1,532,7
532,Warehouse,null,1,533,7
533,Warehouse,null,1,534,6
534,Store,16,null,535,1
535,Warehouse,null,1,535,5
536,Warehouse,null,1,536,4
537,Warehouse,null,1,537,4
538,Warehouse,null,1,538,3
539,Warehouse,null,1,539,3
540,Warehouse,null,1,540,3
541,Warehouse,null,1,541,3
542,Warehouse,null,1,542,3
543,Warehouse,null,1,543,3
544,Warehouse,null,1,544,3
545,Warehouse,null,1,545,4
546,Warehouse,null,1,546,3
547,Warehouse,null,1,547,3
548,Warehouse,null,1,548,4
549,Warehouse,null,1,549,4
550,Warehouse,null,1,550,3
551,Warehouse,null,1,551,3
552,Warehouse,null,1,552,4
553,Warehouse,null,1,553,4
554,Warehouse,null,1,554,3
555,Warehouse,null,1,555,3
556,Warehouse,null,1,556,3
557,Warehouse,null,1,557,3
558,Warehouse,null,1,558,4
559,Warehouse,null,1,559,3
560,Warehouse,null,1,560,3
561,Warehouse,null,1,561,4
562,Warehouse,null,1,562,3
563,Warehouse,null,1,563,3
564,Warehouse,null,1,564,4
565,Warehouse,null,1,565,3
566,Warehouse,null,1,566,4
567,Warehouse,null,1,567,3
568,Warehouse,null,1,568,4
569,Warehouse,null,1,569,3
570,Warehouse,null,1,570,3
571,Warehouse,null,1,571,3
572,Warehouse,null,1,572,3
573,Warehouse,null,1,574,3
574,Warehouse,null,1,575,3
575,Warehouse,null,1,576,3
576,Warehouse,null,1,577,3
577,Warehouse,null,1,578,4
578,Warehouse,null,1,579,4
579,Warehouse,null,1,580,4
580,Warehouse,null,1,581,3
581,Warehouse,null,1,582,3
582,Warehouse,null,1,583,4
583,Warehouse,null,1,584,3
584,Warehouse,null,1,585,3
585,Warehouse,null,1,586,3
586,Warehouse,null,1,587,3
587,Warehouse,null,1,588,3
588,Warehouse,null,1,589,3
589,Warehouse,null,1,590,3
590,Warehouse,null,1,591,3
591,Warehouse,null,1,592,3
592,Warehouse,null,1,593,3
593,Warehouse,null,1,594,3
594,Warehouse,null,1,595,3
595,Warehouse,null,1,596,4
596,Warehouse,null,1,597,3
597,Warehouse,null,1,598,3
598,Warehouse,null,1,599,3
599,Warehouse,null,1,600,3
600,Warehouse,null,1,601,3
601,Warehouse,null,1,602,3
602,Warehouse,null,1,603,3
603,Warehouse,null,1,604,3
604,Warehouse,null,1,605,4
605,Warehouse,null,1,606,3
606,Warehouse,null,1,607,3
607,Warehouse,null,1,608,3
608,Warehouse,null,1,609,4
609,Warehouse,null,1,610,3
610,Warehouse,null,1,611,3
611,Warehouse,null,1,614,3
612,Warehouse,null,1,615,3
613,Warehouse,null,1,617,3
614,Warehouse,null,1,618,3
615,Warehouse,null,1,619,3
616,Warehouse,null,1,621,3
617,Warehouse,null,1,622,3
618,Warehouse,null,1,623,3
619,Warehouse,null,1,624,3
620,Warehouse,null,1,625,3
621,Warehouse,null,1,626,3
622,Warehouse,null,1,627,3
623,Warehouse,null,1,628,3
624,Warehouse,null,1,629,3
625,Warehouse,null,1,632,3
626,Warehouse,null,1,633,3
627,Warehouse,null,1,635,3
628,Warehouse,null,1,636,3
629,Warehouse,null,1,637,3
630,Warehouse,null,1,638,3
631,Warehouse,null,1,639,3
632,Warehouse,null,1,640,3
633,Warehouse,null,1,641,3
634,Warehouse,null,1,642,3
635,Warehouse,null,1,643,3
636,Warehouse,null,1,644,3
637,Warehouse,null,1,645,3
638,Warehouse,null,1,646,3
639,Warehouse,null,1,647,3
640,Warehouse,null,1,648,5
641,Warehouse,null,1,649,3
642,Warehouse,null,1,650,4
643,Warehouse,null,1,651,4
644,Warehouse,null,1,652,4
645,Warehouse,null,1,653,4
646,Warehouse,null,1,654,3
647,Warehouse,null,1,655,3
648,Warehouse,null,1,656,3
649,Warehouse,null,1,657,3
650,Warehouse,null,1,658,3
651,Warehouse,null,1,659,3
652,Warehouse,null,1,660,3
653,Warehouse,null,1,661,3
654,Warehouse,null,1,662,3
655,Warehouse,null,1,663,3
656,Warehouse,null,1,664,3
657,Warehouse,null,1,665,3
658,Warehouse,null,1,666,3
659,Warehouse,null,1,667,3
660,Warehouse,null,1,668,3
661,Warehouse,null,1,669,3
662,Warehouse,null,1,670,3
663,Warehouse,null,1,671,3
664,Warehouse,null,1,672,3
665,Warehouse,null,1,673,3
666,Warehouse,null,1,674,3
667,Warehouse,null,1,675,4
668,Warehouse,null,1,676,4
669,Warehouse,null,1,677,3
670,Warehouse,null,1,678,3
671,Warehouse,null,1,679,3
672,Warehouse,null,1,680,3
673,Warehouse,null,1,681,4
674,Warehouse,null,1,682,4
675,Warehouse,null,1,683,3
676,Warehouse,null,1,684,3
677,Warehouse,null,1,685,3
678,Warehouse,null,1,686,3
679,Warehouse,null,1,687,3
680,Warehouse,null,1,688,3
681,Warehouse,null,1,689,3
682,Warehouse,null,1,690,3
683,Warehouse,null,1,691,3
684,Warehouse,null,1,692,3
685,Warehouse,null,1,694,3
686,Warehouse,null,1,695,3
687,Warehouse,null,1,696,3
688,Warehouse,null,1,697,3
689,Warehouse,null,1,698,3
690,Warehouse,null,1,699,3
691,Warehouse,null,1,700,3
692,Warehouse,null,1,701,3
693,Warehouse,null,1,702,3
694,Warehouse,null,1,704,3
695,Warehouse,null,1,705,3
696,Warehouse,null,1,706,3
697,Warehouse,null,1,707,3
698,Warehouse,null,1,708,3
699,Warehouse,null,1,710,3
700,Warehouse,null,1,711,3
701,Warehouse,null,1,712,3
702,Warehouse,null,1,713,3
703,Warehouse,null,1,714,3
704,Warehouse,null,1,715,3
705,Warehouse,null,1,716,3
706,Warehouse,null,1,717,3
707,Warehouse,null,1,718,3
708,Warehouse,null,1,719,3
709,Warehouse,null,1,720,3
710,Warehouse,null,1,721,3
711,Warehouse,null,1,722,3
712,Warehouse,null,1,723,3
713,Warehouse,null,1,724,3
714,Warehouse,null,1,725,3
715,Warehouse,null,1,726,3
716,Warehouse,null,1,727,3
717,Warehouse,null,1,728,3
718,Warehouse,null,1,729,3
719,Warehouse,null,1,730,3
720,Warehouse,null,1,731,3
721,Warehouse,null,1,732,3
722,Warehouse,null,1,733,3
723,Warehouse,null,1,734,3
724,Warehouse,null,1,735,3
725,Warehouse,null,1,736,3
726,Warehouse,null,1,737,3
727,Warehouse,null,1,738,3
728,Warehouse,null,1,739,3
729,Warehouse,null,1,740,3
730,Warehouse,null,1,741,3
731,Warehouse,null,1,742,3
732,Warehouse,null,1,743,3
733,Warehouse,null,1,744,3
734,Warehouse,null,1,745,3
735,Warehouse,null,1,746,3
736,Warehouse,null,1,747,3
737,Warehouse,null,1,748,3
738,Warehouse,null,1,749,3
739,Warehouse,null,1,750,3
740,Warehouse,null,1,751,3
741,Warehouse,null,1,752,3
742,Warehouse,null,1,753,4
743,Warehouse,null,1,754,3
744,Warehouse,null,1,755,3
745,Warehouse,null,1,756,3
746,Warehouse,null,1,757,3
747,Warehouse,null,1,758,3
748,Warehouse,null,1,759,3
749,Warehouse,null,1,760,3
750,Warehouse,null,1,761,3
751,Warehouse,null,1,762,3
752,Warehouse,null,1,763,3
753,Warehouse,null,1,764,3
754,Warehouse,null,1,765,4
755,Warehouse,null,1,766,4
756,Warehouse,null,1,767,3
757,Warehouse,null,1,768,4
758,Warehouse,null,1,769,3
759,Warehouse,null,1,770,3
760,Warehouse,null,1,771,3
761,Warehouse,null,1,772,3
762,Store,8,null,773,1
763,Warehouse,null,1,773,5
764,Store,8,null,774,1
765,Warehouse,null,1,774,5
766,Store,8,null,775,1
767,Warehouse,null,1,775,5
768,Warehouse,null,1,776,6
769,Warehouse,null,1,777,6
770,Warehouse,null,1,778,6
771,Warehouse,null,1,779,6
772,Store,17,null,780,1
773,Warehouse,null,1,780,5
774,Store,18,null,781,1
775,Warehouse,null,1,781,6
776,Warehouse,null,1,782,6
777,Store,14,null,783,1
778,Warehouse,null,1,783,5
779,Store,14,null,784,1
780,Warehouse,null,1,784,5
781,Store,8,null,785,1
782,Warehouse,null,1,785,5
783,Store,16,null,786,1
784,Warehouse,null,1,786,5
785,Store,8,null,787,1
786,Warehouse,null,1,787,5
787,Store,18,null,788,1
788,Warehouse,null,1,788,5
789,Warehouse,null,1,789,6
790,Warehouse,null,1,790,6
791,Warehouse,null,1,791,6
792,Store,10,null,792,1
793,Warehouse,null,1,792,5
794,Warehouse,null,1,793,6
795,Warehouse,null,1,794,6
796,Warehouse,null,1,795,6
797,Store,11,null,796,1
798,Warehouse,null,1,796,5
799,Store,11,null,797,1
800,Warehouse,null,1,797,5
801,Store,8,null,798,1
802,Warehouse,null,1,798,5
803,Store,14,null,799,1
804,Warehouse,null,1,799,5
805,Warehouse,null,1,800,6
806,Store,14,null,801,1
807,Warehouse,null,1,801,5
808,Store,16,null,802,1
809,Warehouse,null,1,802,5
810,Store,11,null,803,1
811,Warehouse,null,1,803,5
812,Warehouse,null,1,804,7
813,Warehouse,null,1,805,6
814,Store,16,null,806,1
815,Warehouse,null,1,806,5
816,Store,7,null,807,1
817,Warehouse,null,1,807,5
818,Store,11,null,808,1
819,Warehouse,null,1,808,5
820,Warehouse,null,1,809,6
821,Store,11,null,810,1
822,Warehouse,null,1,810,5
823,Store,9,null,811,1
824,Warehouse,null,1,811,5
825,Store,11,null,812,1
826,Warehouse,null,1,812,5
827,Warehouse,null,2,1,3
828,Warehouse,null,2,2,3
829,Warehouse,null,2,3,3
830,Warehouse,null,2,4,3
831,Warehouse,null,2,5,3
832,Warehouse,null,2,6,3
833,Warehouse,null,2,7,3
834,Warehouse,null,2,8,3
835,Warehouse,null,2,9,3
836,Warehouse,null,2,10,3
837,Warehouse,null,2,11,4
838,Warehouse,null,2,12,3
839,Warehouse,null,2,13,3
840,Warehouse,null,2,14,3
841,Warehouse,null,2,15,3
842,Warehouse,null,2,16,3
843,Warehouse,null,2,17,3
844,Warehouse,null,2,18,3
845,Warehouse,null,2,19,3
846,Warehouse,null,2,20,3
847,Warehouse,null,2,21,3
848,Warehouse,null,2,24,3
849,Warehouse,null,2,26,3
850,Warehouse,null,2,28,3
851,Warehouse,null,2,29,3
852,Warehouse,null,2,31,3
853,Warehouse,null,2,32,3
854,Warehouse,null,2,33,3
855,Warehouse,null,2,34,3
856,Warehouse,null,2,35,3
857,Warehouse,null,2,36,3
858,Warehouse,null,2,37,3
859,Warehouse,null,2,38,4
860,Warehouse,null,2,39,4
861,Warehouse,null,2,40,3
862,Warehouse,null,2,42,3
863,Warehouse,null,2,44,3
864,Warehouse,null,2,46,3
865,Warehouse,null,2,47,3
866,Warehouse,null,2,48,3
867,Warehouse,null,2,49,3
868,Warehouse,null,2,50,3
869,Warehouse,null,2,51,3
870,Warehouse,null,2,53,3
871,Warehouse,null,2,54,3
872,Warehouse,null,2,55,3
873,Warehouse,null,2,56,3
874,Warehouse,null,2,57,3
875,Warehouse,null,2,58,3
876,Warehouse,null,2,59,3
877,Warehouse,null,2,60,3
878,Warehouse,null,2,61,3
879,Warehouse,null,2,62,3
880,Warehouse,null,2,63,4
881,Warehouse,null,2,64,3
